PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 50°C Absorption, 12.5.2026, 11:52
Diameter[mm] 1.128e+00  Thickness[mm] 2.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 1.0000e+02	 0.0000e+00	 1.8326e+00	 3.8560e-02	 3.2311e+02	 1.1100e+01
 1.5000e+02	 0.0000e+00	 1.8229e+00	 3.8089e-02	 3.2312e+02	 1.3520e+01
 2.2500e+02	 0.0000e+00	 1.8149e+00	 4.0726e-02	 3.2312e+02	 1.8820e+01
 3.3750e+02	 0.0000e+00	 1.8052e+00	 4.2731e-02	 3.2312e+02	 2.1630e+01
 5.0625e+02	 0.0000e+00	 1.7949e+00	 4.5478e-02	 3.2313e+02	 2.4070e+01
 7.5938e+02	 0.0000e+00	 1.7835e+00	 4.8755e-02	 3.2313e+02	 2.6860e+01
 1.1391e+03	 0.0000e+00	 1.7710e+00	 5.2270e-02	 3.2313e+02	 2.9440e+01
 1.7086e+03	 0.0000e+00	 1.7576e+00	 5.5907e-02	 3.2313e+02	 3.2160e+01
 2.5629e+03	 0.0000e+00	 1.7426e+00	 5.9324e-02	 3.2314e+02	 3.7630e+01
 3.8443e+03	 0.0000e+00	 1.7267e+00	 6.2409e-02	 3.2314e+02	 4.0130e+01
 5.7665e+03	 0.0000e+00	 1.7102e+00	 6.5081e-02	 3.2314e+02	 4.2570e+01
 8.6498e+03	 0.0000e+00	 1.6935e+00	 6.7511e-02	 3.2315e+02	 4.5070e+01
 1.2975e+04	 0.0000e+00	 1.6757e+00	 7.0225e-02	 3.2316e+02	 5.0440e+01
 1.9462e+04	 0.0000e+00	 1.6571e+00	 7.3441e-02	 3.2315e+02	 5.2940e+01
 2.9193e+04	 0.0000e+00	 1.6363e+00	 7.6514e-02	 3.2315e+02	 5.5820e+01
 4.3789e+04	 0.0000e+00	 1.6126e+00	 7.7213e-02	 3.2315e+02	 6.1070e+01
 6.5684e+04	 0.0000e+00	 1.5887e+00	 7.4002e-02	 3.2315e+02	 6.3500e+01
 9.8526e+04	 0.0000e+00	 1.5675e+00	 6.6504e-02	 3.2314e+02	 6.6160e+01
 1.4779e+05	 0.0000e+00	 1.5503e+00	 5.7116e-02	 3.2314e+02	 7.1140e+01
 2.2168e+05	 0.0000e+00	 1.5513e+00	 4.6388e-02	 3.2314e+02	 7.3820e+01
