PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 50°C Desorption, 12.5.2026, 15:30
Diameter[mm] 1.128e+00  Thickness[mm] 2.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 1.0000e+02	 0.0000e+00	 1.6144e+00	 1.8550e-02	 3.2321e+02	 1.1390e+01
 1.5000e+02	 0.0000e+00	 1.6100e+00	 2.1150e-02	 3.2321e+02	 1.4030e+01
 2.2500e+02	 0.0000e+00	 1.6041e+00	 2.2445e-02	 3.2321e+02	 1.9310e+01
 3.3750e+02	 0.0000e+00	 1.5979e+00	 2.4717e-02	 3.2322e+02	 2.1760e+01
 5.0625e+02	 0.0000e+00	 1.5909e+00	 2.6985e-02	 3.2322e+02	 2.4260e+01
 7.5938e+02	 0.0000e+00	 1.5832e+00	 2.8717e-02	 3.2322e+02	 2.6810e+01
 1.1391e+03	 0.0000e+00	 1.5750e+00	 3.0171e-02	 3.2322e+02	 3.1930e+01
 1.7086e+03	 0.0000e+00	 1.5669e+00	 3.1204e-02	 3.2322e+02	 3.4430e+01
 2.5629e+03	 0.0000e+00	 1.5584e+00	 3.2029e-02	 3.2322e+02	 3.9620e+01
 3.8443e+03	 0.0000e+00	 1.5500e+00	 3.2873e-02	 3.2322e+02	 4.2060e+01
 5.7665e+03	 0.0000e+00	 1.5471e+00	 3.2109e-02	 3.2322e+02	 4.4810e+01
 8.6498e+03	 0.0000e+00	 1.5382e+00	 3.3224e-02	 3.2321e+02	 4.7250e+01
 1.2975e+04	 0.0000e+00	 1.5285e+00	 3.4069e-02	 3.2321e+02	 4.9680e+01
 1.9462e+04	 0.0000e+00	 1.5187e+00	 3.3971e-02	 3.2321e+02	 5.2320e+01
 2.9193e+04	 0.0000e+00	 1.5086e+00	 3.2594e-02	 3.2321e+02	 5.4810e+01
 4.3789e+04	 0.0000e+00	 1.4995e+00	 2.9991e-02	 3.2320e+02	 5.7340e+01
 6.5684e+04	 0.0000e+00	 1.4917e+00	 2.6613e-02	 3.2320e+02	 6.0000e+01
 9.8526e+04	 0.0000e+00	 1.4853e+00	 2.3551e-02	 3.2320e+02	 6.2430e+01
 1.4779e+05	 0.0000e+00	 1.4800e+00	 2.0857e-02	 3.2320e+02	 6.5070e+01
 2.2168e+05	 0.0000e+00	 1.4756e+00	 1.8634e-02	 3.2320e+02	 6.7680e+01
 3.3253e+05	 0.0000e+00	 1.4717e+00	 1.7001e-02	 3.2320e+02	 7.0390e+01
 4.9879e+05	 0.0000e+00	 1.4671e+00	 1.6467e-02	 3.2319e+02	 7.2930e+01
 7.4818e+05	 0.0000e+00	 1.4634e+00	 1.5891e-02	 3.2320e+02	 7.5650e+01
 9.0000e+05	 0.0000e+00	 1.4624e+00	 1.5537e-02	 3.2319e+02	 7.8250e+01
 1.0000e+02	 7.5500e+01	 1.6122e+00	 1.8006e-02	 3.2318e+02	 8.7780e+01
 1.5000e+02	 7.5500e+01	 1.6070e+00	 2.0280e-02	 3.2318e+02	 9.0200e+01
 2.2500e+02	 7.5500e+01	 1.6024e+00	 2.2450e-02	 3.2318e+02	 9.5390e+01
 3.3750e+02	 7.5500e+01	 1.5962e+00	 2.4784e-02	 3.2316e+02	 9.8200e+01
 5.0625e+02	 7.5500e+01	 1.5893e+00	 2.6904e-02	 3.2315e+02	 1.0076e+02
 7.5938e+02	 7.5500e+01	 1.5816e+00	 2.8753e-02	 3.2316e+02	 1.0356e+02
 1.1391e+03	 7.5500e+01	 1.5736e+00	 3.0167e-02	 3.2314e+02	 1.0868e+02
 1.7086e+03	 7.5500e+01	 1.5656e+00	 3.1188e-02	 3.2314e+02	 1.1118e+02
 2.5629e+03	 7.5500e+01	 1.5571e+00	 3.1977e-02	 3.2314e+02	 1.1631e+02
 3.8443e+03	 7.5500e+01	 1.5489e+00	 3.2822e-02	 3.2315e+02	 1.1875e+02
 5.7665e+03	 7.5500e+01	 1.5461e+00	 3.2048e-02	 3.2315e+02	 1.2118e+02
 8.6498e+03	 7.5500e+01	 1.5373e+00	 3.3211e-02	 3.2315e+02	 1.2375e+02
 1.2975e+04	 7.5500e+01	 1.5277e+00	 3.4018e-02	 3.2314e+02	 1.2625e+02
 1.9462e+04	 7.5500e+01	 1.5179e+00	 3.3901e-02	 3.2314e+02	 1.2887e+02
 2.9193e+04	 7.5500e+01	 1.5079e+00	 3.2515e-02	 3.2313e+02	 1.3131e+02
 4.3789e+04	 7.5500e+01	 1.4989e+00	 2.9838e-02	 3.2313e+02	 1.3375e+02
 6.5684e+04	 7.5500e+01	 1.4913e+00	 2.6542e-02	 3.2313e+02	 1.3656e+02
 9.8526e+04	 7.5500e+01	 1.4849e+00	 2.3453e-02	 3.2313e+02	 1.3900e+02
 1.4779e+05	 7.5500e+01	 1.4796e+00	 2.0776e-02	 3.2313e+02	 1.4162e+02
 2.2168e+05	 7.5500e+01	 1.4754e+00	 1.8565e-02	 3.2313e+02	 1.4418e+02
 3.3253e+05	 7.5500e+01	 1.4716e+00	 1.6910e-02	 3.2313e+02	 1.4668e+02
 4.9879e+05	 7.5500e+01	 1.4671e+00	 1.6325e-02	 3.2313e+02	 1.4918e+02
 7.4818e+05	 7.5500e+01	 1.4634e+00	 1.5889e-02	 3.2312e+02	 1.5168e+02
 9.0000e+05	 7.5500e+01	 1.4624e+00	 1.5480e-02	 3.2311e+02	 1.5450e+02
 1.0000e+02	 1.5170e+02	 1.6123e+00	 1.8303e-02	 3.2309e+02	 1.6357e+02
 1.5000e+02	 1.5170e+02	 1.6078e+00	 2.1048e-02	 3.2309e+02	 1.6603e+02
 2.2500e+02	 1.5170e+02	 1.6026e+00	 2.2609e-02	 3.2308e+02	 1.7132e+02
 3.3750e+02	 1.5170e+02	 1.5964e+00	 2.4850e-02	 3.2307e+02	 1.7387e+02
 5.0625e+02	 1.5170e+02	 1.5896e+00	 2.6953e-02	 3.2307e+02	 1.7661e+02
 7.5938e+02	 1.5170e+02	 1.5819e+00	 2.8775e-02	 3.2307e+02	 1.7906e+02
 1.1391e+03	 1.5170e+02	 1.5742e+00	 3.0193e-02	 3.2308e+02	 1.8406e+02
 1.7086e+03	 1.5170e+02	 1.5663e+00	 3.1181e-02	 3.2308e+02	 1.8650e+02
 2.5629e+03	 1.5170e+02	 1.5580e+00	 3.1897e-02	 3.2310e+02	 1.9175e+02
 3.8443e+03	 1.5170e+02	 1.5498e+00	 3.2825e-02	 3.2311e+02	 1.9418e+02
 5.7665e+03	 1.5170e+02	 1.5470e+00	 3.2072e-02	 3.2312e+02	 1.9700e+02
 8.6498e+03	 1.5170e+02	 1.5383e+00	 3.3161e-02	 3.2313e+02	 1.9943e+02
 1.2975e+04	 1.5170e+02	 1.5288e+00	 3.3970e-02	 3.2313e+02	 2.0217e+02
 1.9462e+04	 1.5170e+02	 1.5190e+00	 3.3869e-02	 3.2314e+02	 2.0475e+02
 2.9193e+04	 1.5170e+02	 1.5091e+00	 3.2478e-02	 3.2314e+02	 2.0718e+02
 4.3789e+04	 1.5170e+02	 1.5001e+00	 2.9843e-02	 3.2315e+02	 2.0968e+02
 6.5684e+04	 1.5170e+02	 1.4925e+00	 2.6545e-02	 3.2316e+02	 2.1218e+02
 9.8526e+04	 1.5170e+02	 1.4861e+00	 2.3445e-02	 3.2316e+02	 2.1500e+02
 1.4779e+05	 1.5170e+02	 1.4808e+00	 2.0745e-02	 3.2316e+02	 2.1750e+02
 2.2168e+05	 1.5170e+02	 1.4765e+00	 1.8541e-02	 3.2316e+02	 2.2012e+02
 3.3253e+05	 1.5170e+02	 1.4726e+00	 1.6905e-02	 3.2317e+02	 2.2256e+02
 4.9879e+05	 1.5170e+02	 1.4681e+00	 1.6392e-02	 3.2316e+02	 2.2500e+02
 7.4818e+05	 1.5170e+02	 1.4643e+00	 1.5859e-02	 3.2315e+02	 2.2762e+02
 9.0000e+05	 1.5170e+02	 1.4631e+00	 1.5532e-02	 3.2315e+02	 2.3018e+02
 1.0000e+02	 2.2740e+02	 1.6135e+00	 1.8569e-02	 3.2314e+02	 2.3962e+02
 1.5000e+02	 2.2740e+02	 1.6087e+00	 2.0228e-02	 3.2313e+02	 2.4195e+02
