PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, Absorption, 7.5.2026, 13:39
Diameter[mm] 1.128e+00  Thickness[mm] 2.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 1.0000e+02	 0.0000e+00	 1.4100e+00	 3.3143e-02	 3.6315e+02	 8.3900e+00
 1.5000e+02	 0.0000e+00	 1.4034e+00	 2.7355e-02	 3.6315e+02	 1.0880e+01
 2.2500e+02	 0.0000e+00	 1.3987e+00	 2.0676e-02	 3.6315e+02	 1.3450e+01
 3.3750e+02	 0.0000e+00	 1.3941e+00	 1.4860e-02	 3.6315e+02	 1.6170e+01
 5.0625e+02	 0.0000e+00	 1.3890e+00	 1.3118e-02	 3.6316e+02	 1.8640e+01
 7.5938e+02	 0.0000e+00	 1.3858e+00	 1.5632e-02	 3.6315e+02	 2.1410e+01
 1.1391e+03	 0.0000e+00	 1.3823e+00	 1.5629e-02	 3.6316e+02	 2.3940e+01
 1.7086e+03	 0.0000e+00	 1.3794e+00	 1.4469e-02	 3.6315e+02	 2.6600e+01
 2.5629e+03	 0.0000e+00	 1.3765e+00	 1.4053e-02	 3.6315e+02	 2.9380e+01
 3.8443e+03	 0.0000e+00	 1.3740e+00	 1.4416e-02	 3.6315e+02	 3.1890e+01
 5.7665e+03	 0.0000e+00	 1.3714e+00	 1.4936e-02	 3.6315e+02	 3.4630e+01
 8.6498e+03	 0.0000e+00	 1.3684e+00	 1.6446e-02	 3.6315e+02	 3.7060e+01
 1.2975e+04	 0.0000e+00	 1.3650e+00	 1.8708e-02	 3.6315e+02	 3.9560e+01
 1.9462e+04	 0.0000e+00	 1.3611e+00	 2.2013e-02	 3.6315e+02	 4.2060e+01
 2.9193e+04	 0.0000e+00	 1.3565e+00	 2.6552e-02	 3.6315e+02	 4.4670e+01
 4.3789e+04	 0.0000e+00	 1.3507e+00	 3.2477e-02	 3.6315e+02	 4.7140e+01
 6.5684e+04	 0.0000e+00	 1.3430e+00	 4.0013e-02	 3.6315e+02	 4.9910e+01
 9.8526e+04	 0.0000e+00	 1.3322e+00	 4.9217e-02	 3.6315e+02	 5.2380e+01
 1.4779e+05	 0.0000e+00	 1.3168e+00	 5.8908e-02	 3.6315e+02	 5.4810e+01
 2.2168e+05	 0.0000e+00	 1.2960e+00	 6.6367e-02	 3.6315e+02	 5.7380e+01
 3.3253e+05	 0.0000e+00	 1.2723e+00	 6.8282e-02	 3.6315e+02	 6.0020e+01
 4.9879e+05	 0.0000e+00	 1.2490e+00	 6.3363e-02	 3.6315e+02	 6.2700e+01
 7.4818e+05	 0.0000e+00	 1.2307e+00	 5.3891e-02	 3.6315e+02	 6.5200e+01
 9.0000e+05	 0.0000e+00	 1.2247e+00	 4.8963e-02	 3.6315e+02	 6.8130e+01
 1.0000e+02	 6.5500e+01	 1.4043e+00	 1.0863e-02	 3.6315e+02	 7.5850e+01
 1.5000e+02	 6.5500e+01	 1.4043e+00	 2.1822e-02	 3.6315e+02	 7.8200e+01
 2.2500e+02	 6.5500e+01	 1.3993e+00	 1.7528e-02	 3.6315e+02	 8.1000e+01
 3.3750e+02	 6.5500e+01	 1.3947e+00	 1.9850e-02	 3.6315e+02	 8.3560e+01
 5.0625e+02	 6.5500e+01	 1.3902e+00	 1.4577e-02	 3.6316e+02	 8.6380e+01
 7.5938e+02	 6.5500e+01	 1.3862e+00	 1.6166e-02	 3.6315e+02	 8.9000e+01
 1.1391e+03	 6.5500e+01	 1.3831e+00	 1.6777e-02	 3.6315e+02	 9.1500e+01
 1.7086e+03	 6.5500e+01	 1.3799e+00	 2.6880e-02	 3.6316e+02	 9.3940e+01
 2.5629e+03	 6.5500e+01	 1.3775e+00	 1.6675e-02	 3.6315e+02	 9.6700e+01
 3.8443e+03	 6.5500e+01	 1.3749e+00	 1.5928e-02	 3.6315e+02	 9.9190e+01
 5.7665e+03	 6.5500e+01	 1.3724e+00	 1.5366e-02	 3.6315e+02	 1.0169e+02
 8.6498e+03	 6.5500e+01	 1.3696e+00	 1.6616e-02	 3.6315e+02	 1.0431e+02
 1.2975e+04	 6.5500e+01	 1.3664e+00	 1.8931e-02	 3.6315e+02	 1.0675e+02
 1.9462e+04	 6.5500e+01	 1.3624e+00	 2.2168e-02	 3.6315e+02	 1.0939e+02
 2.9193e+04	 6.5500e+01	 1.3581e+00	 2.6668e-02	 3.6316e+02	 1.1200e+02
 4.3789e+04	 6.5500e+01	 1.3522e+00	 3.2654e-02	 3.6316e+02	 1.1444e+02
 6.5684e+04	 6.5500e+01	 1.3445e+00	 4.0163e-02	 3.6316e+02	 1.1694e+02
 9.8526e+04	 6.5500e+01	 1.3337e+00	 4.9472e-02	 3.6316e+02	 1.1938e+02
 1.4779e+05	 6.5500e+01	 1.3182e+00	 5.9176e-02	 3.6316e+02	 1.2181e+02
 2.2168e+05	 6.5500e+01	 1.2976e+00	 6.6586e-02	 3.6316e+02	 1.2444e+02
 3.3253e+05	 6.5500e+01	 1.2738e+00	 6.8510e-02	 3.6316e+02	 1.2700e+02
 4.9879e+05	 6.5500e+01	 1.2503e+00	 6.3628e-02	 3.6316e+02	 1.2967e+02
 7.4818e+05	 6.5500e+01	 1.2318e+00	 5.4012e-02	 3.6316e+02	 1.3213e+02
 9.0000e+05	 6.5500e+01	 1.2256e+00	 4.9143e-02	 3.6316e+02	 1.3483e+02
 1.0000e+02	 1.3240e+02	 1.4099e+00	 2.9668e-02	 3.6316e+02	 1.4285e+02
 1.5000e+02	 1.3240e+02	 1.4060e+00	 2.7361e-02	 3.6316e+02	 1.4520e+02
 2.2500e+02	 1.3240e+02	 1.4011e+00	 2.7620e-02	 3.6315e+02	 1.4794e+02
 3.3750e+02	 1.3240e+02	 1.3967e+00	 2.2941e-02	 3.6316e+02	 1.5044e+02
 5.0625e+02	 1.3240e+02	 1.3917e+00	 1.9151e-02	 3.6316e+02	 1.5319e+02
 7.5938e+02	 1.3240e+02	 1.3875e+00	 1.7311e-02	 3.6316e+02	 1.5581e+02
 1.1391e+03	 1.3240e+02	 1.3839e+00	 1.5493e-02	 3.6315e+02	 1.5858e+02
 1.7086e+03	 1.3240e+02	 1.3803e+00	 1.4411e-02	 3.6315e+02	 1.6106e+02
 2.5629e+03	 1.3240e+02	 1.3779e+00	 2.0045e-02	 3.6316e+02	 1.6386e+02
 3.8443e+03	 1.3240e+02	 1.3754e+00	 1.6918e-02	 3.6316e+02	 1.6638e+02
 5.7665e+03	 1.3240e+02	 1.3728e+00	 2.5100e-02	 3.6315e+02	 1.6881e+02
 8.6498e+03	 1.3240e+02	 1.3700e+00	 2.2000e-02	 3.6315e+02	 1.7131e+02
 1.2975e+04	 1.3240e+02	 1.3667e+00	 2.1716e-02	 3.6315e+02	 1.7381e+02
 1.9462e+04	 1.3240e+02	 1.3626e+00	 2.4342e-02	 3.6315e+02	 1.7641e+02
 2.9193e+04	 1.3240e+02	 1.3584e+00	 2.8325e-02	 3.6316e+02	 1.7902e+02
 4.3789e+04	 1.3240e+02	 1.3527e+00	 3.4396e-02	 3.6315e+02	 1.8144e+02
 6.5684e+04	 1.3240e+02	 1.3450e+00	 4.0545e-02	 3.6315e+02	 1.8406e+02
 9.8526e+04	 1.3240e+02	 1.3341e+00	 5.0066e-02	 3.6315e+02	 1.8656e+02
 1.4779e+05	 1.3240e+02	 1.3186e+00	 5.9250e-02	 3.6316e+02	 1.8931e+02
 2.2168e+05	 1.3240e+02	 1.2979e+00	 6.6755e-02	 3.6315e+02	 1.9188e+02
 3.3253e+05	 1.3240e+02	 1.2742e+00	 6.8655e-02	 3.6314e+02	 1.9458e+02
 4.9879e+05	 1.3240e+02	 1.2506e+00	 6.3763e-02	 3.6315e+02	 1.9706e+02
 7.4818e+05	 1.3240e+02	 1.2322e+00	 5.4184e-02	 3.6315e+02	 1.9989e+02
 9.0000e+05	 1.3240e+02	 1.2260e+00	 4.9285e-02	 3.6314e+02	 2.0252e+02
 1.0000e+02	 1.9990e+02	 1.4120e+00	 9.9464e-02	 3.6314e+02	 2.1064e+02
 1.5000e+02	 1.9990e+02	 1.4063e+00	 7.6430e-02	 3.6314e+02	 2.1308e+02
 2.2500e+02	 1.9990e+02	 1.4005e+00	 5.4582e-02	 3.6314e+02	 2.1570e+02
 3.3750e+02	 1.9990e+02	 1.3959e+00	 1.2856e-02	 3.6314e+02	 2.1833e+02
 5.0625e+02	 1.9990e+02	 1.3913e+00	 1.2688e-02	 3.6314e+02	 2.2114e+02
 7.5938e+02	 1.9990e+02	 1.3877e+00	 1.2605e-02	 3.6314e+02	 2.2375e+02
 1.1391e+03	 1.9990e+02	 1.3847e+00	 1.1849e-02	 3.6314e+02	 2.2636e+02
 1.7086e+03	 1.9990e+02	 1.3816e+00	 1.2024e-02	 3.6314e+02	 2.2881e+02
 2.5629e+03	 1.9990e+02	 1.3792e+00	 1.2180e-02	 3.6315e+02	 2.3167e+02
 3.8443e+03	 1.9990e+02	 1.3767e+00	 1.2563e-02	 3.6315e+02	 2.3413e+02
 5.7665e+03	 1.9990e+02	 1.3741e+00	 1.3932e-02	 3.6314e+02	 2.3656e+02
 8.6498e+03	 1.9990e+02	 1.3712e+00	 1.6020e-02	 3.6315e+02	 2.3931e+02
 1.2975e+04	 1.9990e+02	 1.3680e+00	 1.8465e-02	 3.6315e+02	 2.4188e+02
 1.9462e+04	 1.9990e+02	 1.3641e+00	 2.2059e-02	 3.6315e+02	 2.4456e+02
 2.9193e+04	 1.9990e+02	 1.3597e+00	 2.6588e-02	 3.6315e+02	 2.4713e+02
 4.3789e+04	 1.9990e+02	 1.3538e+00	 3.2614e-02	 3.6315e+02	 2.4988e+02
 6.5684e+04	 1.9990e+02	 1.3461e+00	 4.0247e-02	 3.6315e+02	 2.5231e+02
 9.8526e+04	 1.9990e+02	 1.3352e+00	 4.9571e-02	 3.6315e+02	 2.5483e+02
 1.4779e+05	 1.9990e+02	 1.3199e+00	 5.9425e-02	 3.6315e+02	 2.5750e+02
 2.2168e+05	 1.9990e+02	 1.2990e+00	 6.6952e-02	 3.6314e+02	 2.6000e+02
 3.3253e+05	 1.9990e+02	 1.2751e+00	 6.8839e-02	 3.6315e+02	 2.6263e+02
 4.9879e+05	 1.9990e+02	 1.2515e+00	 6.3933e-02	 3.6315e+02	 2.6506e+02
 7.4818e+05	 1.9990e+02	 1.2331e+00	 5.4421e-02	 3.6315e+02	 2.6774e+02
 9.0000e+05	 1.9990e+02	 1.2269e+00	 4.9439e-02	 3.6314e+02	 2.7031e+02
 1.0000e+02	 2.6770e+02	 1.4202e+00	 6.9105e-02	 3.6315e+02	 2.7864e+02
 1.5000e+02	 2.6770e+02	 1.4130e+00	 6.3797e-02	 3.6314e+02	 2.8103e+02
 2.2500e+02	 2.6770e+02	 1.4058e+00	 4.9293e-02	 3.6315e+02	 2.8389e+02
 3.3750e+02	 2.6770e+02	 1.4001e+00	 3.9154e-02	 3.6315e+02	 2.8638e+02
 5.0625e+02	 2.6770e+02	 1.3955e+00	 3.5511e-02	 3.6315e+02	 2.8883e+02
 7.5938e+02	 2.6770e+02	 1.3908e+00	 2.5096e-02	 3.6315e+02	 2.9138e+02
 1.1391e+03	 2.6770e+02	 1.3872e+00	 2.3324e-02	 3.6315e+02	 2.9381e+02
 1.7086e+03	 2.6770e+02	 1.3835e+00	 1.8968e-02	 3.6315e+02	 2.9625e+02
 2.5629e+03	 2.6770e+02	 1.3808e+00	 1.7035e-02	 3.6315e+02	 2.9894e+02
 3.8443e+03	 2.6770e+02	 1.3782e+00	 1.6490e-02	 3.6315e+02	 3.0144e+02
 5.7665e+03	 2.6770e+02	 1.3756e+00	 1.6480e-02	 3.6315e+02	 3.0389e+02
 8.6498e+03	 2.6770e+02	 1.3727e+00	 1.7413e-02	 3.6315e+02	 3.0656e+02
 1.2975e+04	 2.6770e+02	 1.3695e+00	 1.9567e-02	 3.6315e+02	 3.0906e+02
 1.9462e+04	 2.6770e+02	 1.3656e+00	 2.2748e-02	 3.6314e+02	 3.1163e+02
 2.9193e+04	 2.6770e+02	 1.3611e+00	 2.7122e-02	 3.6315e+02	 3.1419e+02
