PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 50°C Desorption, 27.4.2026, 11:5
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 1.0000e+02	 0.0000e+00	 6.2162e+00	 1.7024e-01	 3.2315e+02	 7.7800e+00	-8.8431e+01	 1.0571e+08	 2.8950e+06	-3.6514e+01
 1.5000e+02	 0.0000e+00	 6.1832e+00	 1.6396e-01	 3.2315e+02	 1.0320e+01	-8.8481e+01	 7.3172e+07	 1.9403e+06	-3.7713e+01
 2.2500e+02	 0.0000e+00	 6.1510e+00	 1.6553e-01	 3.2315e+02	 1.3140e+01	-8.8458e+01	 4.8317e+07	 1.3003e+06	-3.7159e+01
 3.3750e+02	 0.0000e+00	 6.1199e+00	 1.7290e-01	 3.2315e+02	 1.6170e+01	-8.8382e+01	 3.0840e+07	 8.7126e+05	-3.5396e+01
 5.0625e+02	 0.0000e+00	 6.0886e+00	 1.8860e-01	 3.2315e+02	 1.8700e+01	-8.8226e+01	 1.8848e+07	 5.8383e+05	-3.2283e+01
 7.5938e+02	 0.0000e+00	 6.0543e+00	 2.1424e-01	 3.2314e+02	 2.1450e+01	-8.7973e+01	 1.1062e+07	 3.9142e+05	-2.8260e+01
 1.1391e+03	 0.0000e+00	 6.0156e+00	 2.5287e-01	 3.2314e+02	 2.6370e+01	-8.7593e+01	 6.2479e+06	 2.6263e+05	-2.3790e+01
 1.7086e+03	 0.0000e+00	 5.9688e+00	 3.0785e-01	 3.2315e+02	 2.8930e+01	-8.7048e+01	 3.4213e+06	 1.7646e+05	-1.9389e+01
 2.5629e+03	 0.0000e+00	 5.9081e+00	 3.8342e-01	 3.2315e+02	 3.1500e+01	-8.6287e+01	 1.8313e+06	 1.1885e+05	-1.5409e+01
 3.8443e+03	 0.0000e+00	 5.8262e+00	 4.8290e-01	 3.2315e+02	 3.4170e+01	-8.5262e+01	 9.6938e+05	 8.0345e+04	-1.2065e+01
 5.7665e+03	 0.0000e+00	 5.7096e+00	 6.0794e-01	 3.2315e+02	 3.6620e+01	-8.3922e+01	 5.1333e+05	 5.4657e+04	-9.3918e+00
 8.6498e+03	 0.0000e+00	 5.5415e+00	 7.5216e-01	 3.2314e+02	 3.9180e+01	-8.2270e+01	 2.7660e+05	 3.7544e+04	-7.3675e+00
 1.2975e+04	 0.0000e+00	 5.3051e+00	 8.9469e-01	 3.2315e+02	 4.1620e+01	-8.0427e+01	 1.5502e+05	 2.6144e+04	-5.9296e+00
 1.9462e+04	 0.0000e+00	 4.9977e+00	 9.9856e-01	 3.2314e+02	 4.4180e+01	-7.8701e+01	 9.2599e+04	 1.8502e+04	-5.0049e+00
 2.9193e+04	 0.0000e+00	 4.6464e+00	 1.0233e+00	 3.2315e+02	 4.6840e+01	-7.7580e+01	 6.0242e+04	 1.3267e+04	-4.5407e+00
 4.3789e+04	 0.0000e+00	 4.3170e+00	 9.5413e-01	 3.2314e+02	 4.9310e+01	-7.7537e+01	 4.3072e+04	 9.5196e+03	-4.5246e+00
 6.5684e+04	 0.0000e+00	 4.0379e+00	 8.1354e-01	 3.2314e+02	 5.1750e+01	-7.8609e+01	 3.3677e+04	 6.7851e+03	-4.9633e+00
 9.8526e+04	 0.0000e+00	 3.8415e+00	 6.5059e-01	 3.2315e+02	 5.4180e+01	-8.0388e+01	 2.8074e+04	 4.7546e+03	-5.9047e+00
 1.4779e+05	 0.0000e+00	 3.7039e+00	 5.0331e-01	 3.2315e+02	 5.6750e+01	-8.2262e+01	 2.4193e+04	 3.2875e+03	-7.3592e+00
 2.2168e+05	 0.0000e+00	 3.6231e+00	 3.8999e-01	 3.2315e+02	 5.9360e+01	-8.3856e+01	 2.0815e+04	 2.2405e+03	-9.2903e+00
 3.3253e+05	 0.0000e+00	 3.5672e+00	 3.0988e-01	 3.2314e+02	 6.1870e+01	-8.5035e+01	 1.7464e+04	 1.5171e+03	-1.1511e+01
 4.9879e+05	 0.0000e+00	 3.5233e+00	 2.5681e-01	 3.2314e+02	 6.4700e+01	-8.5831e+01	 1.4049e+04	 1.0240e+03	-1.3720e+01
 7.4818e+05	 0.0000e+00	 3.5468e+00	 2.5764e-02	 3.2314e+02	 7.2310e+01	-8.9584e+01	 9.3355e+04	 6.7815e+02	-1.3766e+02
 9.0000e+05	 0.0000e+00	 3.5350e+00	 1.4991e-03	 3.2315e+02	 7.9930e+01	-8.9976e+01	 1.3338e+06	 5.6564e+02	-2.3580e+03
 1.0000e+02	 7.7200e+01	 6.2156e+00	 1.7026e-01	 3.2315e+02	 8.3860e+01	-8.8431e+01	 1.0570e+08	 2.8952e+06	-3.6508e+01
 1.5000e+02	 7.7200e+01	 6.1813e+00	 1.6220e-01	 3.2315e+02	 8.6320e+01	-8.8497e+01	 7.3966e+07	 1.9409e+06	-3.8109e+01
 2.2500e+02	 7.7200e+01	 6.1507e+00	 1.6556e-01	 3.2314e+02	 8.8760e+01	-8.8458e+01	 4.8308e+07	 1.3003e+06	-3.7150e+01
 3.3750e+02	 7.7200e+01	 6.1201e+00	 1.7306e-01	 3.2315e+02	 9.1430e+01	-8.8380e+01	 3.0810e+07	 8.7123e+05	-3.5364e+01
 5.0625e+02	 7.7200e+01	 6.0881e+00	 1.8834e-01	 3.2315e+02	 9.3870e+01	-8.8228e+01	 1.8874e+07	 5.8388e+05	-3.2325e+01
 7.5938e+02	 7.7200e+01	 6.0540e+00	 2.1433e-01	 3.2315e+02	 9.6650e+01	-8.7972e+01	 1.1057e+07	 3.9145e+05	-2.8246e+01
 1.1391e+03	 7.7200e+01	 6.0154e+00	 2.5337e-01	 3.2315e+02	 1.0162e+02	-8.7588e+01	 6.2354e+06	 2.6264e+05	-2.3741e+01
 1.7086e+03	 7.7200e+01	 5.9686e+00	 3.0791e-01	 3.2315e+02	 1.0406e+02	-8.7047e+01	 3.4206e+06	 1.7646e+05	-1.9384e+01
 2.5629e+03	 7.7200e+01	 5.9078e+00	 3.8313e-01	 3.2315e+02	 1.0662e+02	-8.6290e+01	 1.8327e+06	 1.1885e+05	-1.5420e+01
