PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 50°C Desorption tatsächlich, 27.4.2026, 13:45
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 1.0000e+02	 0.0000e+00	 5.9420e+00	 8.2683e-02	 3.2316e+02	 7.7800e+00	-8.9203e+01	 2.1765e+08	 3.0285e+06	-7.1865e+01
 1.5000e+02	 0.0000e+00	 5.9258e+00	 9.5385e-02	 3.2315e+02	 1.0260e+01	-8.9078e+01	 1.2578e+08	 2.0246e+06	-6.2125e+01
 2.2500e+02	 0.0000e+00	 5.9029e+00	 1.1592e-01	 3.2315e+02	 1.2870e+01	-8.8875e+01	 6.8994e+07	 1.3549e+06	-5.0920e+01
 3.3750e+02	 0.0000e+00	 5.8784e+00	 1.3915e-01	 3.2315e+02	 1.5310e+01	-8.8644e+01	 3.8319e+07	 9.0706e+05	-4.2245e+01
 5.0625e+02	 0.0000e+00	 5.8485e+00	 1.6890e-01	 3.2315e+02	 1.7760e+01	-8.8346e+01	 2.1046e+07	 6.0780e+05	-3.4627e+01
 7.5938e+02	 0.0000e+00	 5.8122e+00	 2.0654e-01	 3.2316e+02	 2.0370e+01	-8.7965e+01	 1.1474e+07	 4.0773e+05	-2.8142e+01
 1.1391e+03	 0.0000e+00	 5.7679e+00	 2.5449e-01	 3.2315e+02	 2.2810e+01	-8.7474e+01	 6.2081e+06	 2.7391e+05	-2.2665e+01
 1.7086e+03	 0.0000e+00	 5.7122e+00	 3.1530e-01	 3.2315e+02	 2.5370e+01	-8.6841e+01	 3.3404e+06	 1.8439e+05	-1.8117e+01
 2.5629e+03	 0.0000e+00	 5.6398e+00	 3.9148e-01	 3.2316e+02	 2.7950e+01	-8.6029e+01	 1.7936e+06	 1.2450e+05	-1.4406e+01
 3.8443e+03	 0.0000e+00	 5.5433e+00	 4.8490e-01	 3.2315e+02	 3.0370e+01	-8.5001e+01	 9.6538e+05	 8.4446e+04	-1.1432e+01
