PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 70°C Absorption, 28.4.2026, 10:55
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 1.0000e+02	 0.0000e+00	 6.3243e+00	 1.8529e-01	 3.4315e+02	 7.7600e+00	-8.8322e+01	 9.7124e+07	 2.8455e+06	-3.4132e+01
 1.5000e+02	 0.0000e+00	 6.2874e+00	 1.6909e-01	 3.4315e+02	 1.0280e+01	-8.8459e+01	 7.0951e+07	 1.9081e+06	-3.7183e+01
 2.2500e+02	 0.0000e+00	 6.2543e+00	 1.5655e-01	 3.4315e+02	 1.2920e+01	-8.8566e+01	 5.1088e+07	 1.2788e+06	-3.9949e+01
 3.3750e+02	 0.0000e+00	 6.2243e+00	 1.4948e-01	 3.4314e+02	 1.5510e+01	-8.8624e+01	 3.5670e+07	 8.5665e+05	-4.1639e+01
 5.0625e+02	 0.0000e+00	 6.1967e+00	 1.4775e-01	 3.4315e+02	 1.7970e+01	-8.8634e+01	 2.4059e+07	 5.7364e+05	-4.1941e+01
 7.5938e+02	 0.0000e+00	 6.1704e+00	 1.5243e-01	 3.4314e+02	 2.0680e+01	-8.8585e+01	 1.5547e+07	 3.8406e+05	-4.0480e+01
 1.1391e+03	 0.0000e+00	 6.1439e+00	 1.6443e-01	 3.4314e+02	 2.5810e+01	-8.8467e+01	 9.6079e+06	 2.5714e+05	-3.7364e+01
 1.7086e+03	 0.0000e+00	 6.1161e+00	 1.8728e-01	 3.4315e+02	 2.8250e+01	-8.8246e+01	 5.6238e+06	 1.7221e+05	-3.2657e+01
 2.5629e+03	 0.0000e+00	 6.0851e+00	 2.2268e-01	 3.4314e+02	 3.0820e+01	-8.7904e+01	 3.1533e+06	 1.1539e+05	-2.7327e+01
 3.8443e+03	 0.0000e+00	 6.0474e+00	 2.7490e-01	 3.4315e+02	 3.3430e+01	-8.7397e+01	 1.7028e+06	 7.7407e+04	-2.1998e+01
 5.7665e+03	 0.0000e+00	 5.9978e+00	 3.4840e-01	 3.4315e+02	 3.5870e+01	-8.6676e+01	 8.9574e+05	 5.2031e+04	-1.7215e+01
 8.6498e+03	 0.0000e+00	 5.9274e+00	 4.4762e-01	 3.4315e+02	 3.8420e+01	-8.5681e+01	 4.6478e+05	 3.5100e+04	-1.3242e+01
 1.2975e+04	 0.0000e+00	 5.8254e+00	 5.7516e-01	 3.4315e+02	 4.1000e+01	-8.4361e+01	 2.4115e+05	 2.3810e+04	-1.0128e+01
 1.9462e+04	 0.0000e+00	 5.6730e+00	 7.2713e-01	 3.4315e+02	 4.3430e+01	-8.2696e+01	 1.2717e+05	 1.6299e+04	-7.8020e+00
 2.9193e+04	 0.0000e+00	 5.4517e+00	 8.8678e-01	 3.4315e+02	 4.6000e+01	-8.0761e+01	 6.9515e+04	 1.1307e+04	-6.1478e+00
 4.3789e+04	 0.0000e+00	 5.1534e+00	 1.0187e+00	 3.4315e+02	 4.8430e+01	-7.8818e+01	 4.0342e+04	 7.9746e+03	-5.0588e+00
 6.5684e+04	 0.0000e+00	 4.7955e+00	 1.0810e+00	 3.4315e+02	 5.1120e+01	-7.7297e+01	 2.5345e+04	 5.7131e+03	-4.4362e+00
 9.8526e+04	 0.0000e+00	 4.4349e+00	 1.0476e+00	 3.4315e+02	 5.3750e+01	-7.6710e+01	 1.7436e+04	 4.1184e+03	-4.2336e+00
 1.4779e+05	 0.0000e+00	 4.1100e+00	 9.2685e-01	 3.4315e+02	 5.6360e+01	-7.7292e+01	 1.3138e+04	 2.9627e+03	-4.4343e+00
 2.2168e+05	 0.0000e+00	 3.8652e+00	 7.6143e-01	 3.4315e+02	 5.8930e+01	-7.8856e+01	 1.0661e+04	 2.1002e+03	-5.0762e+00
 3.3253e+05	 0.0000e+00	 3.6911e+00	 5.9571e-01	 3.4315e+02	 6.1530e+01	-8.0832e+01	 9.0847e+03	 1.4662e+03	-6.1962e+00
 4.9879e+05	 0.0000e+00	 3.5870e+00	 4.5856e-01	 3.4315e+02	 6.4310e+01	-8.2715e+01	 7.8678e+03	 1.0058e+03	-7.8223e+00
 7.4818e+05	 0.0000e+00	 3.5753e+00	 2.5959e-01	 3.4315e+02	 7.2360e+01	-8.5847e+01	 9.2656e+03	 6.7275e+02	-1.3773e+01
 9.0000e+05	 0.0000e+00	 3.5562e+00	 2.1668e-01	 3.4316e+02	 8.0180e+01	-8.6513e+01	 9.2280e+03	 5.6226e+02	-1.6412e+01
 1.0000e+02	 7.7400e+01	 6.3242e+00	 1.8546e-01	 3.4315e+02	 8.8510e+01	-8.8320e+01	 9.7032e+07	 2.8455e+06	-3.4100e+01
 1.5000e+02	 7.7400e+01	 6.2864e+00	 1.6777e-01	 3.4315e+02	 9.1070e+01	-8.8471e+01	 7.1508e+07	 1.9084e+06	-3.7470e+01
 2.2500e+02	 7.7400e+01	 6.2541e+00	 1.5670e-01	 3.4316e+02	 9.3760e+01	-8.8565e+01	 5.1040e+07	 1.2789e+06	-3.9911e+01
 3.3750e+02	 7.7400e+01	 6.2241e+00	 1.4952e-01	 3.4315e+02	 9.6310e+01	-8.8624e+01	 3.5661e+07	 8.5668e+05	-4.1627e+01
 5.0625e+02	 7.7400e+01	 6.1966e+00	 1.4784e-01	 3.4315e+02	 9.8900e+01	-8.8633e+01	 2.4044e+07	 5.7365e+05	-4.1913e+01
 7.5938e+02	 7.7400e+01	 6.1699e+00	 1.5233e-01	 3.4315e+02	 1.0150e+02	-8.8586e+01	 1.5557e+07	 3.8409e+05	-4.0503e+01
 1.1391e+03	 7.7400e+01	 6.1437e+00	 1.6484e-01	 3.4315e+02	 1.0656e+02	-8.8463e+01	 9.5845e+06	 2.5715e+05	-3.7272e+01
 1.7086e+03	 7.7400e+01	 6.1161e+00	 1.8720e-01	 3.4315e+02	 1.0900e+02	-8.8247e+01	 5.6262e+06	 1.7221e+05	-3.2671e+01
 2.5629e+03	 7.7400e+01	 6.0850e+00	 2.2271e-01	 3.4315e+02	 1.1159e+02	-8.7904e+01	 3.1528e+06	 1.1539e+05	-2.7322e+01
 3.8443e+03	 7.7400e+01	 6.0469e+00	 2.7490e-01	 3.4315e+02	 1.1406e+02	-8.7397e+01	 1.7028e+06	 7.7414e+04	-2.1996e+01
 5.7665e+03	 7.7400e+01	 5.9975e+00	 3.4831e-01	 3.4315e+02	 1.1656e+02	-8.6676e+01	 8.9597e+05	 5.2034e+04	-1.7219e+01
 8.6498e+03	 7.7400e+01	 5.9274e+00	 4.4753e-01	 3.4315e+02	 1.1912e+02	-8.5682e+01	 4.6489e+05	 3.5100e+04	-1.3245e+01
 1.2975e+04	 7.7400e+01	 5.8251e+00	 5.7510e-01	 3.4316e+02	 1.2168e+02	-8.4362e+01	 2.4118e+05	 2.3810e+04	-1.0129e+01
 1.9462e+04	 7.7400e+01	 5.6729e+00	 7.2714e-01	 3.4315e+02	 1.2431e+02	-8.2696e+01	 1.2716e+05	 1.6300e+04	-7.8017e+00
 2.9193e+04	 7.7400e+01	 5.4516e+00	 8.8676e-01	 3.4315e+02	 1.2687e+02	-8.0761e+01	 6.9516e+04	 1.1308e+04	-6.1478e+00
 4.3789e+04	 7.7400e+01	 5.1533e+00	 1.0186e+00	 3.4316e+02	 1.2954e+02	-7.8819e+01	 4.0347e+04	 7.9747e+03	-5.0594e+00
 6.5684e+04	 7.7400e+01	 4.7954e+00	 1.0809e+00	 3.4316e+02	 1.3200e+02	-7.7298e+01	 2.5348e+04	 5.7132e+03	-4.4367e+00
 9.8526e+04	 7.7400e+01	 4.4348e+00	 1.0474e+00	 3.4315e+02	 1.3486e+02	-7.6712e+01	 1.7439e+04	 4.1186e+03	-4.2341e+00
 1.4779e+05	 7.7400e+01	 4.1101e+00	 9.2683e-01	 3.4315e+02	 1.3731e+02	-7.7292e+01	 1.3138e+04	 2.9626e+03	-4.4345e+00
 2.2168e+05	 7.7400e+01	 3.8651e+00	 7.6167e-01	 3.4315e+02	 1.4011e+02	-7.8852e+01	 1.0658e+04	 2.1003e+03	-5.0745e+00
 3.3253e+05	 7.7400e+01	 3.6910e+00	 5.9567e-01	 3.4315e+02	 1.4256e+02	-8.0832e+01	 9.0853e+03	 1.4662e+03	-6.1963e+00
 4.9879e+05	 7.7400e+01	 3.5871e+00	 4.5854e-01	 3.4315e+02	 1.4512e+02	-8.2715e+01	 7.8682e+03	 1.0058e+03	-7.8229e+00
 7.4818e+05	 7.7400e+01	 3.5747e+00	 2.6368e-01	 3.4315e+02	 1.5312e+02	-8.5781e+01	 9.1218e+03	 6.7285e+02	-1.3557e+01
 9.0000e+05	 7.7400e+01	 3.5558e+00	 2.2096e-01	 3.4315e+02	 1.6081e+02	-8.6444e+01	 9.0492e+03	 5.6233e+02	-1.6093e+01
 1.0000e+02	 1.5810e+02	 6.3241e+00	 1.8556e-01	 3.4315e+02	 1.6901e+02	-8.8319e+01	 9.6982e+07	 2.8456e+06	-3.4081e+01
 1.5000e+02	 1.5810e+02	 6.2858e+00	 1.7002e-01	 3.4315e+02	 1.7145e+02	-8.8451e+01	 7.0561e+07	 1.9086e+06	-3.6970e+01
