PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, Absorption, 23.4.2026, 10:30
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 1.0000e+02	 0.0000e+00	 6.2462e+00	 1.8167e-01	 3.6316e+02	 7.6000e+00	-8.8334e+01	 9.9055e+07	 2.8811e+06	-3.4381e+01
 1.5000e+02	 0.0000e+00	 6.2111e+00	 1.5830e-01	 3.6316e+02	 1.0080e+01	-8.8540e+01	 7.5786e+07	 1.9315e+06	-3.9236e+01
 2.2500e+02	 0.0000e+00	 6.1794e+00	 1.4322e-01	 3.6315e+02	 1.2580e+01	-8.8672e+01	 5.5845e+07	 1.2943e+06	-4.3146e+01
 3.3750e+02	 0.0000e+00	 6.1528e+00	 1.3043e-01	 3.6316e+02	 1.5270e+01	-8.8786e+01	 4.0879e+07	 8.6661e+05	-4.7171e+01
 5.0625e+02	 0.0000e+00	 6.1289e+00	 1.2215e-01	 3.6316e+02	 1.7690e+01	-8.8858e+01	 2.9102e+07	 5.7999e+05	-5.0176e+01
 7.5938e+02	 0.0000e+00	 6.1074e+00	 1.1910e-01	 3.6316e+02	 2.0490e+01	-8.8883e+01	 1.9897e+07	 3.8802e+05	-5.1278e+01
 1.1391e+03	 0.0000e+00	 6.0875e+00	 1.2159e-01	 3.6316e+02	 2.5440e+01	-8.8856e+01	 1.2993e+07	 2.5953e+05	-5.0065e+01
 1.7086e+03	 0.0000e+00	 6.0682e+00	 1.3149e-01	 3.6316e+02	 2.7940e+01	-8.8759e+01	 8.0103e+06	 1.7357e+05	-4.6151e+01
 2.5629e+03	 0.0000e+00	 6.0483e+00	 1.5007e-01	 3.6316e+02	 3.0500e+01	-8.8579e+01	 4.6788e+06	 1.1609e+05	-4.0302e+01
 3.8443e+03	 0.0000e+00	 6.0262e+00	 1.8030e-01	 3.6316e+02	 3.3250e+01	-8.8286e+01	 2.5963e+06	 7.7678e+04	-3.3424e+01
 5.7665e+03	 0.0000e+00	 6.0001e+00	 2.2586e-01	 3.6316e+02	 3.5690e+01	-8.7844e+01	 1.3817e+06	 5.2011e+04	-2.6566e+01
 8.6498e+03	 0.0000e+00	 5.9651e+00	 2.9214e-01	 3.6316e+02	 3.8360e+01	-8.7196e+01	 7.1214e+05	 3.4878e+04	-2.0418e+01
 1.2975e+04	 0.0000e+00	 5.9151e+00	 3.8542e-01	 3.6315e+02	 4.0940e+01	-8.6272e+01	 3.5986e+05	 2.3448e+04	-1.5347e+01
 1.9462e+04	 0.0000e+00	 5.8392e+00	 5.1135e-01	 3.6315e+02	 4.3550e+01	-8.4995e+01	 1.8083e+05	 1.5836e+04	-1.1419e+01
 2.9193e+04	 0.0000e+00	 5.7195e+00	 6.7269e-01	 3.6315e+02	 4.6190e+01	-8.3292e+01	 9.1638e+04	 1.0778e+04	-8.5024e+00
 4.3789e+04	 0.0000e+00	 5.5313e+00	 8.5954e-01	 3.6315e+02	 4.8850e+01	-8.1167e+01	 4.7811e+04	 7.4297e+03	-6.4352e+00
 6.5684e+04	 0.0000e+00	 5.2524e+00	 1.0426e+00	 3.6316e+02	 5.1310e+01	-7.8772e+01	 2.6277e+04	 5.2161e+03	-5.0376e+00
 9.8526e+04	 0.0000e+00	 4.8829e+00	 1.1708e+00	 3.6315e+02	 5.3880e+01	-7.6516e+01	 1.5600e+04	 3.7406e+03	-4.1704e+00
 1.4779e+05	 0.0000e+00	 4.4618e+00	 1.1921e+00	 3.6316e+02	 5.9020e+01	-7.5041e+01	 1.0214e+04	 2.7291e+03	-3.7427e+00
 2.2168e+05	 0.0000e+00	 4.0678e+00	 1.0930e+00	 3.6316e+02	 6.1600e+01	-7.4960e+01	 7.4271e+03	 1.9956e+03	-3.7217e+00
 3.3253e+05	 0.0000e+00	 3.7519e+00	 9.0901e-01	 3.6316e+02	 6.4060e+01	-7.6381e+01	 5.9535e+03	 1.4424e+03	-4.1274e+00
 4.9879e+05	 0.0000e+00	-4.4766e+00	 4.6233e+01	 3.6316e+02	 6.6740e+01	 5.5305e+00	 7.8036e+01	-8.0595e+02	 9.6826e-02
