PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, Desorption, 23.4.2026, 13:22
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 1.0000e+02	 0.0000e+00	 5.9930e+00	 2.6796e-01	 3.6316e+02	 7.6800e+00	-8.7440e+01	 6.7159e+07	 3.0028e+06	-2.2366e+01
 1.5000e+02	 0.0000e+00	 5.9265e+00	 3.1956e-01	 3.6316e+02	 1.0130e+01	-8.6914e+01	 3.7543e+07	 2.0243e+06	-1.8546e+01
 2.2500e+02	 0.0000e+00	 5.8358e+00	 3.7084e-01	 3.6316e+02	 1.2570e+01	-8.6364e+01	 2.1568e+07	 1.3705e+06	-1.5737e+01
 3.3750e+02	 0.0000e+00	 5.7266e+00	 4.1895e-01	 3.6317e+02	 1.5050e+01	-8.5816e+01	 1.2727e+07	 9.3110e+05	-1.3669e+01
 5.0625e+02	 0.0000e+00	 5.6017e+00	 4.5630e-01	 3.6317e+02	 1.7500e+01	-8.5343e+01	 7.7903e+06	 6.3457e+05	-1.2276e+01
 7.5938e+02	 0.0000e+00	 5.4681e+00	 4.8112e-01	 3.6317e+02	 2.0210e+01	-8.4972e+01	 4.9256e+06	 4.3339e+05	-1.1365e+01
 1.1391e+03	 0.0000e+00	 5.3314e+00	 4.9476e-01	 3.6317e+02	 2.2800e+01	-8.4698e+01	 3.1932e+06	 2.9634e+05	-1.0776e+01
 1.7086e+03	 0.0000e+00	 5.1958e+00	 5.0045e-01	 3.6317e+02	 2.5400e+01	-8.4498e+01	 2.1046e+06	 2.0271e+05	-1.0382e+01
 2.5629e+03	 0.0000e+00	 5.0626e+00	 5.0164e-01	 3.6317e+02	 3.0900e+01	-8.4341e+01	 1.3997e+06	 1.3870e+05	-1.0092e+01
 3.8443e+03	 0.0000e+00	 4.9321e+00	 5.0118e-01	 3.6318e+02	 3.3360e+01	-8.4198e+01	 9.3401e+05	 9.4911e+04	-9.8409e+00
 5.7665e+03	 0.0000e+00	 4.8036e+00	 5.0137e-01	 3.6317e+02	 3.5800e+01	-8.4041e+01	 6.2244e+05	 6.4966e+04	-9.5810e+00
 8.6498e+03	 0.0000e+00	 4.6751e+00	 5.0329e-01	 3.6317e+02	 4.0990e+01	-8.3856e+01	 4.1338e+05	 4.4501e+04	-9.2891e+00
 1.2975e+04	 0.0000e+00	 4.5711e+00	 5.0913e-01	 3.6316e+02	 4.3720e+01	-8.3645e+01	 2.7242e+05	 3.0343e+04	-8.9782e+00
 1.9462e+04	 0.0000e+00	 4.4379e+00	 5.1323e-01	 3.6317e+02	 4.6300e+01	-8.3403e+01	 1.8017e+05	 2.0835e+04	-8.6471e+00
 2.9193e+04	 0.0000e+00	 4.3013e+00	 5.1551e-01	 3.6317e+02	 4.8910e+01	-8.3166e+01	 1.1958e+05	 1.4332e+04	-8.3437e+00
 4.3789e+04	 0.0000e+00	 4.1633e+00	 5.1349e-01	 3.6316e+02	 5.1490e+01	-8.2969e+01	 8.0034e+04	 9.8711e+03	-8.1079e+00
 6.5684e+04	 0.0000e+00	 4.0252e+00	 5.0640e-01	 3.6316e+02	 5.4240e+01	-8.2829e+01	 5.4102e+04	 6.8065e+03	-7.9486e+00
 9.8526e+04	 0.0000e+00	 3.8899e+00	 4.9415e-01	 3.6315e+02	 5.6680e+01	-8.2760e+01	 3.6962e+04	 4.6955e+03	-7.8719e+00
 1.4779e+05	 0.0000e+00	 3.7354e+00	 4.7536e-01	 3.6316e+02	 5.9240e+01	-8.2748e+01	 2.5616e+04	 3.2598e+03	-7.8580e+00
 2.2168e+05	 0.0000e+00	 3.6086e+00	 4.5449e-01	 3.6315e+02	 6.1860e+01	-8.2822e+01	 1.7861e+04	 2.2496e+03	-7.9399e+00
 3.3253e+05	 0.0000e+00	 3.4875e+00	 4.2730e-01	 3.6316e+02	 6.4300e+01	-8.3015e+01	 1.2665e+04	 1.5518e+03	-8.1618e+00
 4.9879e+05	 0.0000e+00	 3.3757e+00	 3.9301e-01	 3.6315e+02	 6.6960e+01	-8.3359e+01	 9.1801e+03	 1.0688e+03	-8.5892e+00
 7.4818e+05	 0.0000e+00	 3.3299e+00	 2.7774e-01	 3.6313e+02	 7.4680e+01	-8.5232e+01	 8.6600e+03	 7.2232e+02	-1.1989e+01
 9.0000e+05	 0.0000e+00	 3.2958e+00	 2.5251e-01	 3.6312e+02	 8.2300e+01	-8.5619e+01	 7.9186e+03	 6.0669e+02	-1.3052e+01
 1.0000e+02	 7.9600e+01	 5.9913e+00	 2.7025e-01	 3.6312e+02	 9.0430e+01	-8.7417e+01	 6.6590e+07	 3.0036e+06	-2.2170e+01
 1.5000e+02	 7.9600e+01	 5.9217e+00	 3.2028e-01	 3.6313e+02	 9.3000e+01	-8.6904e+01	 3.7458e+07	 2.0259e+06	-1.8489e+01
 2.2500e+02	 7.9600e+01	 5.8322e+00	 3.7357e-01	 3.6313e+02	 9.5880e+01	-8.6335e+01	 2.1410e+07	 1.3714e+06	-1.5612e+01
 3.3750e+02	 7.9600e+01	 5.7216e+00	 4.2140e-01	 3.6314e+02	 9.8360e+01	-8.5788e+01	 1.2653e+07	 9.3192e+05	-1.3578e+01
 5.0625e+02	 7.9600e+01	 5.5962e+00	 4.5812e-01	 3.6313e+02	 1.0111e+02	-8.5320e+01	 7.7593e+06	 6.3520e+05	-1.2216e+01
 7.5938e+02	 7.9600e+01	 5.4622e+00	 4.8231e-01	 3.6314e+02	 1.0355e+02	-8.4954e+01	 4.9135e+06	 4.3385e+05	-1.1325e+01
 1.1391e+03	 7.9600e+01	 5.3257e+00	 4.9579e-01	 3.6314e+02	 1.0635e+02	-8.4681e+01	 3.1866e+06	 2.9665e+05	-1.0742e+01
 1.7086e+03	 7.9600e+01	 5.1900e+00	 5.0100e-01	 3.6314e+02	 1.0899e+02	-8.4486e+01	 2.1023e+06	 2.0294e+05	-1.0359e+01
 2.5629e+03	 7.9600e+01	 5.0570e+00	 5.0203e-01	 3.6315e+02	 1.1436e+02	-8.4331e+01	 1.3987e+06	 1.3885e+05	-1.0073e+01
 3.8443e+03	 7.9600e+01	 4.9265e+00	 5.0146e-01	 3.6315e+02	 1.1711e+02	-8.4188e+01	 9.3350e+05	 9.5019e+04	-9.8244e+00
 5.7665e+03	 7.9600e+01	 4.7982e+00	 5.0142e-01	 3.6315e+02	 1.1961e+02	-8.4034e+01	 6.2238e+05	 6.5040e+04	-9.5693e+00
 8.6498e+03	 7.9600e+01	 4.6699e+00	 5.0331e-01	 3.6314e+02	 1.2461e+02	-8.3848e+01	 4.1336e+05	 4.4551e+04	-9.2783e+00
 1.2975e+04	 7.9600e+01	 4.5657e+00	 5.0897e-01	 3.6314e+02	 1.2705e+02	-8.3639e+01	 2.7251e+05	 3.0378e+04	-8.9704e+00
 1.9462e+04	 7.9600e+01	 4.4329e+00	 5.1296e-01	 3.6315e+02	 1.2985e+02	-8.3399e+01	 1.8026e+05	 2.0859e+04	-8.6417e+00
 2.9193e+04	 7.9600e+01	 4.2963e+00	 5.1503e-01	 3.6315e+02	 1.3230e+02	-8.3164e+01	 1.1969e+05	 1.4348e+04	-8.3420e+00
 4.3789e+04	 7.9600e+01	 4.1586e+00	 5.1266e-01	 3.6315e+02	 1.3475e+02	-8.2972e+01	 8.0163e+04	 9.8821e+03	-8.1120e+00
 6.5684e+04	 7.9600e+01	 4.0209e+00	 5.0545e-01	 3.6315e+02	 1.3736e+02	-8.2835e+01	 5.4204e+04	 6.8137e+03	-7.9552e+00
 9.8526e+04	 7.9600e+01	 3.8862e+00	 4.9301e-01	 3.6315e+02	 1.3980e+02	-8.2770e+01	 3.7048e+04	 4.7000e+03	-7.8825e+00
 1.4779e+05	 7.9600e+01	 3.7322e+00	 4.7416e-01	 3.6315e+02	 1.4263e+02	-8.2760e+01	 2.5680e+04	 3.2625e+03	-7.8713e+00
 2.2168e+05	 7.9600e+01	 3.6062e+00	 4.5322e-01	 3.6315e+02	 1.4518e+02	-8.2837e+01	 1.7911e+04	 2.2510e+03	-7.9568e+00
