PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 45 µm, 20.4.2026, 17:51
Diameter[mm] 1.128e+00  Thickness[mm] 3.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 1.0000e+06	 0.0000e+00	 6.4809e-01	 1.2310e-03	 2.9520e+02	 1.1060e+01	-8.9891e+01	 4.3857e+06	 8.3302e+03	-5.2649e+02
 3.1646e+05	 0.0000e+00	 6.5019e-01	 4.3945e-03	 2.9520e+02	 1.3680e+01	-8.9613e+01	 3.8821e+06	 2.6238e+04	-1.4796e+02
 1.0014e+05	 0.0000e+00	 6.5392e-01	 5.7363e-03	 2.9519e+02	 1.6120e+01	-8.9497e+01	 9.3979e+06	 8.2440e+04	-1.1400e+02
 3.1691e+04	 0.0000e+00	 6.5844e-01	 7.3518e-03	 2.9520e+02	 1.8570e+01	-8.9360e+01	 2.3172e+07	 2.5872e+05	-8.9561e+01
 1.0029e+04	 0.0000e+00	 6.6386e-01	 1.0041e-02	 2.9519e+02	 2.1060e+01	-8.9133e+01	 5.3613e+07	 8.1090e+05	-6.6115e+01
 3.1737e+03	 0.0000e+00	 6.7068e-01	 1.5328e-02	 2.9519e+02	 2.3680e+01	-8.8691e+01	 1.1098e+08	 2.5364e+06	-4.3756e+01
 1.0043e+03	 0.0000e+00	 6.7927e-01	 2.7983e-02	 2.9519e+02	 2.6120e+01	-8.7641e+01	 1.9209e+08	 7.9136e+06	-2.4274e+01
 3.1783e+02	 0.0000e+00	 6.9112e-01	 6.3474e-02	 2.9518e+02	 2.8620e+01	-8.4753e+01	 2.6761e+08	 2.4578e+07	-1.0888e+01
 1.0058e+02	 0.0000e+00	 7.0743e-01	 1.6271e-01	 2.9518e+02	 3.1140e+01	-7.7047e+01	 3.2989e+08	 7.5876e+07	-4.3478e+00
 3.1829e+01	 0.0000e+00	 7.4370e-01	 4.3658e-01	 2.9518e+02	 3.4120e+01	-5.9585e+01	 3.8851e+08	 2.2807e+08	-1.7035e+00
 1.0072e+01	 0.0000e+00	 7.7665e-01	 1.3834e+00	 2.9518e+02	 3.7060e+01	-2.9310e+01	 3.8744e+08	 6.9013e+08	-5.6140e-01
 1.0000e+06	 3.4300e+01	 6.4860e-01	 1.2457e-03	 2.9517e+02	 4.0810e+01	-8.9890e+01	 4.3339e+06	 8.3237e+03	-5.2067e+02
 3.1646e+05	 3.4300e+01	 6.5075e-01	 4.3155e-03	 2.9517e+02	 4.3310e+01	-8.9620e+01	 3.9532e+06	 2.6216e+04	-1.5079e+02
 1.0014e+05	 3.4300e+01	 6.5444e-01	 5.6425e-03	 2.9518e+02	 4.5870e+01	-8.9506e+01	 9.5541e+06	 8.2375e+04	-1.1598e+02
 3.1691e+04	 3.4300e+01	 6.5889e-01	 7.2595e-03	 2.9517e+02	 4.8310e+01	-8.9369e+01	 2.3466e+07	 2.5855e+05	-9.0762e+01
 1.0029e+04	 3.4300e+01	 6.6503e-01	 9.5459e-03	 2.9517e+02	 5.0950e+01	-8.9178e+01	 5.6392e+07	 8.0947e+05	-6.9666e+01
 3.1737e+03	 3.4300e+01	 6.7175e-01	 1.5653e-02	 2.9516e+02	 5.3570e+01	-8.8665e+01	 1.0867e+08	 2.5323e+06	-4.2915e+01
 1.0043e+03	 3.4300e+01	 6.8110e-01	 2.5531e-02	 2.9516e+02	 5.6060e+01	-8.7853e+01	 2.1055e+08	 7.8923e+06	-2.6677e+01
 3.1783e+02	 3.4300e+01	 6.9293e-01	 4.8312e-02	 2.9516e+02	 6.1500e+01	-8.6012e+01	 3.5160e+08	 2.4514e+07	-1.4343e+01
 1.0058e+02	 3.4300e+01	 7.0953e-01	 4.8491e-02	 2.9515e+02	 6.4140e+01	-8.6090e+01	 1.1069e+09	 7.5651e+07	-1.4632e+01
 3.1829e+01	 3.4300e+01	 7.4491e-01	 3.2055e-01	 2.9515e+02	 7.0960e+01	-6.6717e+01	 5.2915e+08	 2.2770e+08	-2.3238e+00
 1.0072e+01	 3.4300e+01	 7.7674e-01	 1.1208e+00	 2.9516e+02	 7.4250e+01	-3.4723e+01	 4.7823e+08	 6.9006e+08	-6.9303e-01
 1.0000e+06	 7.1500e+01	 6.5173e-01	 1.6589e-03	 2.9514e+02	 7.8000e+01	-8.9854e+01	 3.2545e+06	 8.2837e+03	-3.9288e+02
 3.1646e+05	 7.1500e+01	 6.5383e-01	 4.3312e-03	 2.9515e+02	 8.0620e+01	-8.9620e+01	 3.9388e+06	 2.6092e+04	-1.5096e+02
 1.0014e+05	 7.1500e+01	 6.5895e-01	 5.5394e-03	 2.9515e+02	 8.3680e+01	-8.9518e+01	 9.7319e+06	 8.1811e+04	-1.1896e+02
 3.1691e+04	 7.1500e+01	 6.6541e-01	 7.0124e-03	 2.9514e+02	 8.6430e+01	-8.9396e+01	 2.4293e+07	 2.5601e+05	-9.4890e+01
 1.0029e+04	 7.1500e+01	 6.7077e-01	 9.5624e-03	 2.9514e+02	 8.8930e+01	-8.9183e+01	 5.6295e+07	 8.0254e+05	-7.0146e+01
 3.1737e+03	 7.1500e+01	 6.7755e-01	 1.4324e-02	 2.9515e+02	 9.1600e+01	-8.8789e+01	 1.1876e+08	 2.5106e+06	-4.7302e+01
 1.0043e+03	 7.1500e+01	 6.8618e-01	 2.5298e-02	 2.9515e+02	 9.4060e+01	-8.7889e+01	 2.1248e+08	 7.8339e+06	-2.7124e+01
 3.1783e+02	 7.1500e+01	 6.9784e-01	 5.4690e-02	 2.9515e+02	 9.6560e+01	-8.5519e+01	 3.1059e+08	 2.4341e+07	-1.2760e+01
 1.0058e+02	 7.1500e+01	 7.2659e-01	 1.4486e-01	 2.9515e+02	 9.9200e+01	-7.8725e+01	 3.7055e+08	 7.3875e+07	-5.0159e+00
 3.1829e+01	 7.1500e+01	 7.5802e-01	 4.7294e-01	 2.9515e+02	 1.0201e+02	-5.8039e+01	 3.5865e+08	 2.2377e+08	-1.6028e+00
 1.0072e+01	 7.1500e+01	 7.8895e-01	 1.2791e+00	 2.9515e+02	 1.0506e+02	-3.1665e+01	 4.1903e+08	 6.7938e+08	-6.1678e-01
 1.0000e+06	 1.0230e+02	 6.5136e-01	 1.4182e-02	 2.9516e+02	 1.0887e+02	-8.8753e+01	 3.8067e+05	 8.2884e+03	-4.5928e+01
