PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 1st absorption, 21.4.2026, 12:34
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 9.0000e+05	 0.0000e+00	 3.2259e+00	 3.0873e-01	 3.6315e+02	 1.2850e+01	-8.4533e+01	 6.4767e+03	 6.1983e+02	-1.0449e+01
 6.0000e+05	 0.0000e+00	 3.2906e+00	 4.7396e-01	 3.6315e+02	 2.0690e+01	-8.1804e+01	 6.3281e+03	 9.1148e+02	-6.9427e+00
 4.0000e+05	 0.0000e+00	 3.3926e+00	 7.3350e-01	 3.6315e+02	 2.3690e+01	-7.7800e+01	 6.1335e+03	 1.3261e+03	-4.6253e+00
 2.6667e+05	 0.0000e+00	 3.6328e+00	 9.2816e-01	 3.6315e+02	 2.6190e+01	-7.5668e+01	 7.2707e+03	 1.8576e+03	-3.9140e+00
 1.7778e+05	 0.0000e+00	 3.9858e+00	 1.0747e+00	 3.6315e+02	 2.9000e+01	-7.4910e+01	 9.4191e+03	 2.5397e+03	-3.7088e+00
 1.1852e+05	 0.0000e+00	 4.3807e+00	 1.1124e+00	 3.6315e+02	 3.1440e+01	-7.5752e+01	 1.3649e+04	 3.4661e+03	-3.9379e+00
 7.9012e+04	 0.0000e+00	 4.7423e+00	 1.0326e+00	 3.6315e+02	 3.4270e+01	-7.7716e+01	 2.2057e+04	 4.8027e+03	-4.5926e+00
 5.2675e+04	 0.0000e+00	 5.0427e+00	 8.7944e-01	 3.6315e+02	 3.6820e+01	-8.0107e+01	 3.8847e+04	 6.7749e+03	-5.7340e+00
 3.5117e+04	 0.0000e+00	 5.2547e+00	 7.0290e-01	 3.6315e+02	 3.9520e+01	-8.2381e+01	 7.2906e+04	 9.7522e+03	-7.4758e+00
 2.3411e+04	 0.0000e+00	 5.3932e+00	 5.4050e-01	 3.6315e+02	 4.2190e+01	-8.4277e+01	 1.4222e+05	 1.4253e+04	-9.9782e+00
 1.5607e+04	 0.0000e+00	 5.4809e+00	 4.0783e-01	 3.6315e+02	 4.5000e+01	-8.5745e+01	 2.8272e+05	 2.1037e+04	-1.3439e+01
 1.0405e+04	 0.0000e+00	 5.5374e+00	 3.0670e-01	 3.6315e+02	 4.7440e+01	-8.6830e+01	 5.6392e+05	 3.1234e+04	-1.8055e+01
 6.9366e+03	 0.0000e+00	 5.5752e+00	 2.3278e-01	 3.6315e+02	 5.0190e+01	-8.7609e+01	 1.1145e+06	 4.6533e+04	-2.3950e+01
 4.6244e+03	 0.0000e+00	 5.6027e+00	 1.8017e-01	 3.6315e+02	 5.2690e+01	-8.8158e+01	 2.1598e+06	 6.9457e+04	-3.1096e+01
 3.0829e+03	 0.0000e+00	 5.6243e+00	 1.4363e-01	 3.6315e+02	 5.5630e+01	-8.8537e+01	 4.0639e+06	 1.0379e+05	-3.9157e+01
 2.0553e+03	 0.0000e+00	 5.6423e+00	 1.1900e-01	 3.6315e+02	 5.8130e+01	-8.8792e+01	 7.3579e+06	 1.5518e+05	-4.7415e+01
 1.3702e+03	 0.0000e+00	 5.6584e+00	 1.0351e-01	 3.6315e+02	 6.0830e+01	-8.8952e+01	 1.2689e+07	 2.3211e+05	-5.4666e+01
 9.1346e+02	 0.0000e+00	 5.6739e+00	 9.4588e-02	 3.6315e+02	 6.3380e+01	-8.9045e+01	 2.0828e+07	 3.4721e+05	-5.9986e+01
 6.0898e+02	 0.0000e+00	 5.6894e+00	 9.0930e-02	 3.6315e+02	 6.6050e+01	-8.9084e+01	 3.2498e+07	 5.1940e+05	-6.2569e+01
 4.0598e+02	 0.0000e+00	 5.7054e+00	 9.2224e-02	 3.6315e+02	 6.8750e+01	-8.9074e+01	 4.8064e+07	 7.7692e+05	-6.1865e+01
 2.7066e+02	 0.0000e+00	 5.7227e+00	 9.7439e-02	 3.6315e+02	 7.1350e+01	-8.9025e+01	 6.8237e+07	 1.1619e+06	-5.8731e+01
 1.8044e+02	 0.0000e+00	 5.7415e+00	 1.0664e-01	 3.6315e+02	 7.3830e+01	-8.8936e+01	 9.3528e+07	 1.7371e+06	-5.3843e+01
 1.2029e+02	 0.0000e+00	 5.7631e+00	 1.1983e-01	 3.6316e+02	 7.6500e+01	-8.8809e+01	 1.2485e+08	 2.5958e+06	-4.8096e+01
 1.0000e+02	 0.0000e+00	 5.7746e+00	 1.2734e-01	 3.6315e+02	 7.9040e+01	-8.8737e+01	 1.4132e+08	 3.1163e+06	-4.5350e+01
 9.0000e+05	 7.6300e+01	 3.2273e+00	 3.1111e-01	 3.6315e+02	 8.7940e+01	-8.4494e+01	 6.4270e+03	 6.1957e+02	-1.0373e+01
 6.0000e+05	 7.6300e+01	 3.2916e+00	 4.7722e-01	 3.6313e+02	 9.5650e+01	-8.1751e+01	 6.2850e+03	 9.1119e+02	-6.8975e+00
 4.0000e+05	 7.6300e+01	 3.3943e+00	 7.3341e-01	 3.6312e+02	 9.8570e+01	-7.7808e+01	 6.1343e+03	 1.3254e+03	-4.6282e+00
 2.6667e+05	 7.6300e+01	 3.6339e+00	 9.2797e-01	 3.6309e+02	 1.0125e+02	-7.5675e+01	 7.2722e+03	 1.8571e+03	-3.9160e+00
 1.7778e+05	 7.6300e+01	 3.9860e+00	 1.0748e+00	 3.6307e+02	 1.0369e+02	-7.4910e+01	 9.4181e+03	 2.5395e+03	-3.7086e+00
 1.1852e+05	 7.6300e+01	 4.3806e+00	 1.1130e+00	 3.6305e+02	 1.0649e+02	-7.5744e+01	 1.3642e+04	 3.4662e+03	-3.9358e+00
 7.9012e+04	 7.6300e+01	 4.7423e+00	 1.0344e+00	 3.6302e+02	 1.0894e+02	-7.7696e+01	 2.2019e+04	 4.8027e+03	-4.5847e+00
 5.2675e+04	 7.6300e+01	 5.0431e+00	 8.8187e-01	 3.6300e+02	 1.1146e+02	-8.0081e+01	 3.8740e+04	 6.7744e+03	-5.7187e+00
 3.5117e+04	 7.6300e+01	 5.2559e+00	 7.0574e-01	 3.6296e+02	 1.1407e+02	-8.2352e+01	 7.2613e+04	 9.7500e+03	-7.4474e+00
 2.3411e+04	 7.6300e+01	 5.3948e+00	 5.4306e-01	 3.6293e+02	 1.1677e+02	-8.4252e+01	 1.4155e+05	 1.4249e+04	-9.9341e+00
 1.5607e+04	 7.6300e+01	 5.4830e+00	 4.1015e-01	 3.6287e+02	 1.1944e+02	-8.5722e+01	 2.8112e+05	 2.1029e+04	-1.3368e+01
 1.0405e+04	 7.6300e+01	 5.5396e+00	 3.0873e-01	 3.6284e+02	 1.2194e+02	-8.6810e+01	 5.6022e+05	 3.1221e+04	-1.7943e+01
 6.9366e+03	 7.6300e+01	 5.5777e+00	 2.3443e-01	 3.6280e+02	 1.2450e+02	-8.7593e+01	 1.1067e+06	 4.6512e+04	-2.3793e+01
 4.6244e+03	 7.6300e+01	 5.6055e+00	 1.8155e-01	 3.6276e+02	 1.2700e+02	-8.8145e+01	 2.1434e+06	 6.9422e+04	-3.0875e+01
 3.0829e+03	 7.6300e+01	 5.6271e+00	 1.4489e-01	 3.6270e+02	 1.2994e+02	-8.8525e+01	 4.0286e+06	 1.0373e+05	-3.8837e+01
 2.0553e+03	 7.6300e+01	 5.6451e+00	 1.1989e-01	 3.6266e+02	 1.3244e+02	-8.8783e+01	 7.3030e+06	 1.5510e+05	-4.7085e+01
 1.3702e+03	 7.6300e+01	 5.6616e+00	 1.0401e-01	 3.6260e+02	 1.3494e+02	-8.8948e+01	 1.2627e+07	 2.3198e+05	-5.4432e+01
 9.1346e+02	 7.6300e+01	 5.6770e+00	 9.4934e-02	 3.6256e+02	 1.3744e+02	-8.9042e+01	 2.0752e+07	 3.4703e+05	-5.9799e+01
 6.0898e+02	 7.6300e+01	 5.6925e+00	 9.1412e-02	 3.6249e+02	 1.4025e+02	-8.9080e+01	 3.2327e+07	 5.1912e+05	-6.2273e+01
 4.0598e+02	 7.6300e+01	 5.7088e+00	 9.2408e-02	 3.6244e+02	 1.4294e+02	-8.9073e+01	 4.7968e+07	 7.7646e+05	-6.1778e+01
 2.7066e+02	 7.6300e+01	 5.7264e+00	 9.7634e-02	 3.6238e+02	 1.4546e+02	-8.9023e+01	 6.8101e+07	 1.1611e+06	-5.8652e+01
 1.8044e+02	 7.6300e+01	 5.7452e+00	 1.0651e-01	 3.6233e+02	 1.4796e+02	-8.8938e+01	 9.3640e+07	 1.7360e+06	-5.3941e+01
 1.2029e+02	 7.6300e+01	 5.7669e+00	 1.1984e-01	 3.6224e+02	 1.5082e+02	-8.8810e+01	 1.2483e+08	 2.5941e+06	-4.8121e+01
 1.0000e+02	 7.6300e+01	 5.7780e+00	 1.2764e-01	 3.6219e+02	 1.5327e+02	-8.8735e+01	 1.4099e+08	 3.1145e+06	-4.5269e+01
 9.0000e+05	 1.5050e+02	 3.2288e+00	 3.0030e-01	 3.6193e+02	 1.6238e+02	-8.4686e+01	 6.6583e+03	 6.1927e+02	-1.0752e+01
 6.0000e+05	 1.5050e+02	 3.2882e+00	 4.5884e-01	 3.6171e+02	 1.6994e+02	-8.2056e+01	 6.5367e+03	 9.1212e+02	-7.1664e+00
 4.0000e+05	 1.5050e+02	 3.3815e+00	 7.0920e-01	 3.6164e+02	 1.7271e+02	-7.8155e+01	 6.3436e+03	 1.3305e+03	-4.7680e+00
 2.6667e+05	 1.5050e+02	 3.6074e+00	 9.0356e-01	 3.6153e+02	 1.7532e+02	-7.5938e+01	 7.4687e+03	 1.8707e+03	-3.9924e+00
 1.7778e+05	 1.5050e+02	 3.9461e+00	 1.0589e+00	 3.6147e+02	 1.7775e+02	-7.4980e+01	 9.5599e+03	 2.5652e+03	-3.7268e+00
 1.1852e+05	 1.5050e+02	 4.3348e+00	 1.1121e+00	 3.6137e+02	 1.8038e+02	-7.5611e+01	 1.3654e+04	 3.5028e+03	-3.8979e+00
 7.9012e+04	 1.5050e+02	 4.7003e+00	 1.0477e+00	 3.6128e+02	 1.8282e+02	-7.7434e+01	 2.1739e+04	 4.8456e+03	-4.4863e+00
 5.2675e+04	 1.5050e+02	 5.0105e+00	 9.0365e-01	 3.6122e+02	 1.8525e+02	-7.9777e+01	 3.7806e+04	 6.8184e+03	-5.5447e+00
 3.5117e+04	 1.5050e+02	 5.2341e+00	 7.2991e-01	 3.6110e+02	 1.8794e+02	-8.2061e+01	 7.0208e+04	 9.7907e+03	-7.1709e+00
 2.3411e+04	 1.5050e+02	 5.3816e+00	 5.6590e-01	 3.6104e+02	 1.9069e+02	-8.3997e+01	 1.3583e+05	 1.4284e+04	-9.5099e+00
 1.5607e+04	 1.5050e+02	 5.4760e+00	 4.2964e-01	 3.6092e+02	 1.9325e+02	-8.5514e+01	 2.6837e+05	 2.1056e+04	-1.2746e+01
 1.0405e+04	 1.5050e+02	 5.5371e+00	 3.2487e-01	 3.6084e+02	 1.9582e+02	-8.6642e+01	 5.3239e+05	 3.1236e+04	-1.7044e+01
 6.9366e+03	 1.5050e+02	 5.5785e+00	 2.4782e-01	 3.6073e+02	 1.9849e+02	-8.7456e+01	 1.0469e+06	 4.6505e+04	-2.2510e+01
 4.6244e+03	 1.5050e+02	 5.6088e+00	 1.9310e-01	 3.6063e+02	 2.0107e+02	-8.8028e+01	 2.0153e+06	 6.9381e+04	-2.9046e+01
 3.0829e+03	 1.5050e+02	 5.6329e+00	 1.5485e-01	 3.6052e+02	 2.0388e+02	-8.8425e+01	 3.7697e+06	 1.0363e+05	-3.6377e+01
 2.0553e+03	 1.5050e+02	 5.6537e+00	 1.2891e-01	 3.6044e+02	 2.0632e+02	-8.8694e+01	 6.7923e+06	 1.5487e+05	-4.3859e+01
 1.3702e+03	 1.5050e+02	 5.6734e+00	 1.1242e-01	 3.6036e+02	 2.0875e+02	-8.8865e+01	 1.1682e+07	 2.3150e+05	-5.0465e+01
 9.1346e+02	 1.5050e+02	 5.6935e+00	 1.0276e-01	 3.6022e+02	 2.1125e+02	-8.8966e+01	 1.9171e+07	 3.4602e+05	-5.5405e+01
 6.0898e+02	 1.5050e+02	 5.7136e+00	 9.8503e-02	 3.6014e+02	 2.1382e+02	-8.9012e+01	 3.0000e+07	 5.1720e+05	-5.8004e+01
 4.0598e+02	 1.5050e+02	 5.7359e+00	 9.9053e-02	 3.6002e+02	 2.1657e+02	-8.9011e+01	 4.4750e+07	 7.7278e+05	-5.7907e+01
 2.7066e+02	 1.5050e+02	 5.7592e+00	 1.0307e-01	 3.5991e+02	 2.1913e+02	-8.8975e+01	 6.4510e+07	 1.1545e+06	-5.5878e+01
 1.8044e+02	 1.5050e+02	 5.7850e+00	 1.1048e-01	 3.5979e+02	 2.2172e+02	-8.8906e+01	 9.0270e+07	 1.7240e+06	-5.2361e+01
 1.2029e+02	 1.5050e+02	 5.8149e+00	 1.2095e-01	 3.5970e+02	 2.2444e+02	-8.8808e+01	 1.2369e+08	 2.5727e+06	-4.8078e+01
 1.0000e+02	 1.5050e+02	 5.8328e+00	 1.2757e-01	 3.5954e+02	 2.2704e+02	-8.8747e+01	 1.4106e+08	 3.0853e+06	-4.5722e+01
 9.0000e+05	 2.2430e+02	 3.2417e+00	 2.7457e-01	 3.5916e+02	 2.3607e+02	-8.5159e+01	 7.2824e+03	 6.1681e+02	-1.1806e+01
 6.0000e+05	 2.2430e+02	 3.2955e+00	 4.2191e-01	 3.5881e+02	 2.4382e+02	-8.2704e+01	 7.1088e+03	 9.1011e+02	-7.8110e+00
 4.0000e+05	 2.2430e+02	 3.3729e+00	 6.6380e-01	 3.5866e+02	 2.4663e+02	-7.8866e+01	 6.7776e+03	 1.3338e+03	-5.0812e+00
 2.6667e+05	 2.2430e+02	 3.5754e+00	 8.5931e-01	 3.5856e+02	 2.4907e+02	-7.6486e+01	 7.8533e+03	 1.8874e+03	-4.1608e+00
 1.7778e+05	 2.2430e+02	 3.8924e+00	 1.0322e+00	 3.5839e+02	 2.5175e+02	-7.5147e+01	 9.8063e+03	 2.6006e+03	-3.7708e+00
 1.1852e+05	 2.2430e+02	 4.2737e+00	 1.1160e+00	 3.5829e+02	 2.5419e+02	-7.5365e+01	 1.3605e+04	 3.5529e+03	-3.8293e+00
 7.9012e+04	 2.2430e+02	 4.6517e+00	 1.0813e+00	 3.5820e+02	 2.5663e+02	-7.6914e+01	 2.1063e+04	 4.8962e+03	-4.3020e+00
 5.2675e+04	 2.2430e+02	 4.9870e+00	 9.5497e-01	 3.5805e+02	 2.5907e+02	-7.9160e+01	 3.5775e+04	 6.8505e+03	-5.2222e+00
 3.5117e+04	 2.2430e+02	 5.2371e+00	 7.8560e-01	 3.5792e+02	 2.6150e+02	-8.1469e+01	 6.5231e+04	 9.7851e+03	-6.6664e+00
 2.3411e+04	 2.2430e+02	 5.4077e+00	 6.1795e-01	 3.5777e+02	 2.6438e+02	-8.3481e+01	 1.2439e+05	 1.4215e+04	-8.7510e+00
 1.5607e+04	 2.2430e+02	 5.5195e+00	 4.7513e-01	 3.5767e+02	 2.6682e+02	-8.5080e+01	 2.4267e+05	 2.0890e+04	-1.1617e+01
 1.0405e+04	 2.2430e+02	 5.5934e+00	 3.6362e-01	 3.5749e+02	 2.6955e+02	-8.6280e+01	 4.7564e+05	 3.0921e+04	-1.5382e+01
 6.9366e+03	 2.2430e+02	 5.6448e+00	 2.8136e-01	 3.5739e+02	 2.7207e+02	-8.7147e+01	 9.2206e+05	 4.5959e+04	-2.0063e+01
 4.6244e+03	 2.2430e+02	 5.6831e+00	 2.2251e-01	 3.5728e+02	 2.7457e+02	-8.7758e+01	 1.7489e+06	 6.8474e+04	-2.5541e+01
 3.0829e+03	 2.2430e+02	 5.7147e+00	 1.8230e-01	 3.5713e+02	 2.7738e+02	-8.8173e+01	 3.2020e+06	 1.0214e+05	-3.1348e+01
 2.0553e+03	 2.2430e+02	 5.7425e+00	 1.5553e-01	 3.5695e+02	 2.8007e+02	-8.8449e+01	 5.6296e+06	 1.5247e+05	-3.6922e+01
 1.3702e+03	 2.2430e+02	 5.7684e+00	 1.3873e-01	 3.5685e+02	 2.8263e+02	-8.8622e+01	 9.4672e+06	 2.2768e+05	-4.1581e+01
 9.1346e+02	 2.2430e+02	 5.7942e+00	 1.2966e-01	 3.5669e+02	 2.8549e+02	-8.8718e+01	 1.5194e+07	 3.4000e+05	-4.4689e+01
 6.0898e+02	 2.2430e+02	 5.8204e+00	 1.2639e-01	 3.5656e+02	 2.8807e+02	-8.8756e+01	 2.3380e+07	 5.0771e+05	-4.6051e+01
 4.0598e+02	 2.2430e+02	 5.8481e+00	 1.2818e-01	 3.5640e+02	 2.9088e+02	-8.8744e+01	 3.4581e+07	 7.5796e+05	-4.5623e+01
 2.7066e+02	 2.2430e+02	 5.8771e+00	 1.3383e-01	 3.5629e+02	 2.9332e+02	-8.8695e+01	 4.9681e+07	 1.1313e+06	-4.3914e+01
 1.8044e+02	 2.2430e+02	 5.9080e+00	 1.4273e-01	 3.5610e+02	 2.9605e+02	-8.8616e+01	 6.9875e+07	 1.6881e+06	-4.1393e+01
 1.2029e+02	 2.2430e+02	 5.9426e+00	 1.5491e-01	 3.5600e+02	 2.9875e+02	-8.8507e+01	 9.6570e+07	 2.5174e+06	-3.8360e+01
 1.0000e+02	 2.2430e+02	 5.9615e+00	 1.6188e-01	 3.5585e+02	 3.0135e+02	-8.8445e+01	 1.1117e+08	 3.0186e+06	-3.6827e+01
 9.0000e+05	 2.9860e+02	 3.2792e+00	 2.4560e-01	 3.5537e+02	 3.1025e+02	-8.5717e+01	 8.1413e+03	 6.0975e+02	-1.3352e+01
 6.0000e+05	 2.9860e+02	 3.3207e+00	 3.7919e-01	 3.5496e+02	 3.1782e+02	-8.3486e+01	 7.9097e+03	 9.0322e+02	-8.7572e+00
 4.0000e+05	 2.9860e+02	 3.3775e+00	 6.0674e-01	 3.5476e+02	 3.2075e+02	-7.9816e+01	 7.4149e+03	 1.3320e+03	-5.5666e+00
 2.6667e+05	 2.9860e+02	 3.5484e+00	 7.9943e-01	 3.5465e+02	 3.2325e+02	-7.7304e+01	 8.4415e+03	 1.9018e+03	-4.4387e+00
 1.7778e+05	 2.9860e+02	 3.8315e+00	 9.8935e-01	 3.5448e+02	 3.2586e+02	-7.5522e+01	 1.0232e+04	 2.6419e+03	-3.8727e+00
 1.1852e+05	 2.9860e+02	 4.1937e+00	 1.1101e+00	 3.5434e+02	 3.2838e+02	-7.5174e+01	 1.3678e+04	 3.6207e+03	-3.7779e+00
 7.9012e+04	 2.9860e+02	 4.5774e+00	 1.1154e+00	 3.5423e+02	 3.3082e+02	-7.6305e+01	 2.0419e+04	 4.9757e+03	-4.1038e+00
 5.2675e+04	 2.9860e+02	 4.9385e+00	 1.0160e+00	 3.5406e+02	 3.3338e+02	-7.8374e+01	 3.3625e+04	 6.9179e+03	-4.8606e+00
 3.5117e+04	 2.9860e+02	 5.2194e+00	 8.5474e-01	 3.5394e+02	 3.3582e+02	-8.0700e+01	 5.9955e+04	 9.8184e+03	-6.1064e+00
 2.3411e+04	 2.9860e+02	 5.4150e+00	 6.8214e-01	 3.5375e+02	 3.3855e+02	-8.2820e+01	 1.1269e+05	 1.4196e+04	-7.9382e+00
 1.5607e+04	 2.9860e+02	 5.5438e+00	 5.2792e-01	 3.5363e+02	 3.4100e+02	-8.4560e+01	 2.1841e+05	 2.0798e+04	-1.0501e+01
 1.0405e+04	 2.9860e+02	 5.6277e+00	 4.0465e-01	 3.5352e+02	 3.4350e+02	-8.5887e+01	 4.2741e+05	 3.0733e+04	-1.3907e+01
 6.9366e+03	 2.9860e+02	 5.6843e+00	 3.1202e-01	 3.5331e+02	 3.4619e+02	-8.6858e+01	 8.3144e+05	 4.5640e+04	-1.8218e+01
 4.6244e+03	 2.9860e+02	 5.7251e+00	 2.4537e-01	 3.5319e+02	 3.4869e+02	-8.7546e+01	 1.5859e+06	 6.7972e+04	-2.3332e+01
 3.0829e+03	 2.9860e+02	 5.7573e+00	 1.9875e-01	 3.5302e+02	 3.5150e+02	-8.8023e+01	 2.9370e+06	 1.0139e+05	-2.8968e+01
 2.0553e+03	 2.9860e+02	 5.7842e+00	 1.6716e-01	 3.5290e+02	 3.5400e+02	-8.8345e+01	 5.2379e+06	 1.5137e+05	-3.4603e+01
 1.3702e+03	 2.9860e+02	 5.8094e+00	 1.4723e-01	 3.5268e+02	 3.5675e+02	-8.8548e+01	 8.9206e+06	 2.2608e+05	-3.9459e+01
 9.1346e+02	 2.9860e+02	 5.8333e+00	 1.3605e-01	 3.5257e+02	 3.5919e+02	-8.8664e+01	 1.4480e+07	 3.3772e+05	-4.2877e+01
 6.0898e+02	 2.9860e+02	 5.8577e+00	 1.3129e-01	 3.5240e+02	 3.6199e+02	-8.8716e+01	 2.2508e+07	 5.0448e+05	-4.4617e+01
 4.0598e+02	 2.9860e+02	 5.8834e+00	 1.3190e-01	 3.5224e+02	 3.6475e+02	-8.8716e+01	 3.3607e+07	 7.5341e+05	-4.4607e+01
 2.7066e+02	 2.9860e+02	 5.9107e+00	 1.3639e-01	 3.5208e+02	 3.6738e+02	-8.8678e+01	 4.8751e+07	 1.1249e+06	-4.3338e+01
 1.8044e+02	 2.9860e+02	 5.9400e+00	 1.4462e-01	 3.5197e+02	 3.6983e+02	-8.8605e+01	 6.8962e+07	 1.6790e+06	-4.1073e+01
 1.2029e+02	 2.9860e+02	 5.9719e+00	 1.5588e-01	 3.5176e+02	 3.7257e+02	-8.8505e+01	 9.5970e+07	 2.5051e+06	-3.8310e+01
 1.0000e+02	 2.9860e+02	 5.9880e+00	 1.6207e-01	 3.5164e+02	 3.7507e+02	-8.8450e+01	 1.1104e+08	 3.0053e+06	-3.6947e+01
 9.0000e+05	 3.7230e+02	 3.2964e+00	 2.0900e-01	 3.5106e+02	 3.8438e+02	-8.6372e+01	 9.5671e+03	 6.0657e+02	-1.5772e+01
 6.0000e+05	 3.7230e+02	 3.3271e+00	 3.2631e-01	 3.5057e+02	 3.9194e+02	-8.4399e+01	 9.1916e+03	 9.0148e+02	-1.0196e+01
 4.0000e+05	 3.7230e+02	 3.3638e+00	 5.3615e-01	 3.5044e+02	 3.9471e+02	-8.0944e+01	 8.3912e+03	 1.3375e+03	-6.2739e+00
 2.6667e+05	 3.7230e+02	 3.5559e+00	 7.0517e-01	 3.5025e+02	 3.9725e+02	-7.8783e+01	 9.5699e+03	 1.8978e+03	-5.0426e+00
 1.7778e+05	 3.7230e+02	 3.8438e+00	 8.3600e-01	 3.5016e+02	 3.9969e+02	-7.7730e+01	 1.2108e+04	 2.6335e+03	-4.5978e+00
 1.1852e+05	 3.7230e+02	 4.1581e+00	 9.4686e-01	 3.5007e+02	 4.0215e+02	-7.7172e+01	 1.6036e+04	 3.6516e+03	-4.3914e+00
 7.9012e+04	 3.7230e+02	 4.4975e+00	 9.8442e-01	 3.4993e+02	 4.0469e+02	-7.7654e+01	 2.3136e+04	 5.0641e+03	-4.5686e+00
 5.2675e+04	 3.7230e+02	 4.8424e+00	 9.3615e-01	 3.4982e+02	 4.0713e+02	-7.9058e+01	 3.6494e+04	 7.0551e+03	-5.1727e+00
 3.5117e+04	 3.7230e+02	 5.1341e+00	 8.1686e-01	 3.4969e+02	 4.0980e+02	-8.0960e+01	 6.2735e+04	 9.9815e+03	-6.2851e+00
 2.3411e+04	 3.7230e+02	 5.3514e+00	 6.6363e-01	 3.4960e+02	 4.1257e+02	-8.2931e+01	 1.1583e+05	 1.4364e+04	-8.0638e+00
 1.5607e+04	 3.7230e+02	 5.4971e+00	 5.1508e-01	 3.4944e+02	 4.1525e+02	-8.4647e+01	 2.2385e+05	 2.0975e+04	-1.0672e+01
 1.0405e+04	 3.7230e+02	 5.5903e+00	 3.8987e-01	 3.4935e+02	 4.1775e+02	-8.6011e+01	 4.4362e+05	 3.0938e+04	-1.4339e+01
 6.9366e+03	 3.7230e+02	 5.6497e+00	 2.9279e-01	 3.4926e+02	 4.2019e+02	-8.7033e+01	 8.8608e+05	 4.5919e+04	-1.9297e+01
 4.6244e+03	 3.7230e+02	 5.6893e+00	 2.2068e-01	 3.4911e+02	 4.2275e+02	-8.7779e+01	 1.7634e+06	 6.8400e+04	-2.5780e+01
 3.0829e+03	 3.7230e+02	 5.7171e+00	 1.6792e-01	 3.4902e+02	 4.2565e+02	-8.8318e+01	 3.4761e+06	 1.0210e+05	-3.4046e+01
 2.0553e+03	 3.7230e+02	 5.7378e+00	 1.3023e-01	 3.4888e+02	 4.2819e+02	-8.8700e+01	 6.7235e+06	 1.5260e+05	-4.4060e+01
 1.3702e+03	 3.7230e+02	 5.7548e+00	 1.0279e-01	 3.4876e+02	 4.3063e+02	-8.8977e+01	 1.2777e+07	 2.2822e+05	-5.5984e+01
 9.1346e+02	 3.7230e+02	 5.7684e+00	 8.2859e-02	 3.4863e+02	 4.3324e+02	-8.9177e+01	 2.3776e+07	 3.4152e+05	-6.9617e+01
 6.0898e+02	 3.7230e+02	 5.7803e+00	 6.8707e-02	 3.4854e+02	 4.3582e+02	-8.9319e+01	 4.3010e+07	 5.1123e+05	-8.4130e+01
 4.0598e+02	 3.7230e+02	 5.7907e+00	 5.8586e-02	 3.4837e+02	 4.3854e+02	-8.9420e+01	 7.5660e+07	 7.6548e+05	-9.8840e+01
