PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 1st desorption, 21.4.2026, 14:21
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 9.0000e+05	 0.0000e+00	 2.9715e+00	 8.3863e-02	 2.8427e+02	 1.2960e+01	-8.8383e+01	 2.3843e+04	 6.7289e+02	-3.5433e+01
 6.0000e+05	 0.0000e+00	 2.9639e+00	 1.6068e-01	 2.8427e+02	 1.5690e+01	-8.6897e+01	 1.8667e+04	 1.0119e+03	-1.8447e+01
 4.0000e+05	 0.0000e+00	 3.0042e+00	 1.6562e-01	 2.8427e+02	 1.8440e+01	-8.6845e+01	 2.7165e+04	 1.4975e+03	-1.8140e+01
 2.6667e+05	 0.0000e+00	 3.0459e+00	 1.7170e-01	 2.8427e+02	 2.0940e+01	-8.6773e+01	 3.9302e+04	 2.2156e+03	-1.7739e+01
 1.7778e+05	 0.0000e+00	 3.0891e+00	 1.7893e-01	 2.8427e+02	 2.3610e+01	-8.6685e+01	 5.6572e+04	 3.2769e+03	-1.7264e+01
 1.1852e+05	 0.0000e+00	 3.1336e+00	 1.8784e-01	 2.8427e+02	 2.6070e+01	-8.6570e+01	 8.0833e+04	 4.8455e+03	-1.6682e+01
 7.9012e+04	 0.0000e+00	 3.1796e+00	 1.9913e-01	 2.8427e+02	 2.8500e+01	-8.6416e+01	 1.1438e+05	 7.1631e+03	-1.5967e+01
 5.2675e+04	 0.0000e+00	 3.2157e+00	 2.1406e-01	 2.8427e+02	 3.1110e+01	-8.6192e+01	 1.5960e+05	 1.0624e+04	-1.5022e+01
 3.5117e+04	 0.0000e+00	 3.2662e+00	 2.3307e-01	 2.8427e+02	 3.3820e+01	-8.5918e+01	 2.1987e+05	 1.5690e+04	-1.4014e+01
 2.3411e+04	 0.0000e+00	 3.3199e+00	 2.5827e-01	 2.8427e+02	 3.6270e+01	-8.5552e+01	 2.9763e+05	 2.3154e+04	-1.2854e+01
 1.5607e+04	 0.0000e+00	 3.3790e+00	 2.9191e-01	 2.8427e+02	 3.8820e+01	-8.5063e+01	 3.9500e+05	 3.4123e+04	-1.1576e+01
 1.0405e+04	 0.0000e+00	 3.4463e+00	 3.3670e-01	 2.8427e+02	 4.1250e+01	-8.4420e+01	 5.1367e+05	 5.0185e+04	-1.0236e+01
 6.9366e+03	 0.0000e+00	 3.5272e+00	 3.9452e-01	 2.8427e+02	 4.3940e+01	-8.3618e+01	 6.5759e+05	 7.3552e+04	-8.9405e+00
 4.6244e+03	 0.0000e+00	 3.6298e+00	 4.6512e-01	 2.8427e+02	 4.6750e+01	-8.2698e+01	 8.3665e+05	 1.0721e+05	-7.8040e+00
 3.0829e+03	 0.0000e+00	 3.7727e+00	 5.4121e-01	 2.8427e+02	 4.9440e+01	-8.1836e+01	 1.0785e+06	 1.5472e+05	-6.9709e+00
 2.0553e+03	 0.0000e+00	 3.9416e+00	 6.0794e-01	 2.8427e+02	 5.1940e+01	-8.1232e+01	 1.4402e+06	 2.2214e+05	-6.4836e+00
 1.3702e+03	 0.0000e+00	 4.1383e+00	 6.4830e-01	 2.8427e+02	 5.4540e+01	-8.1096e+01	 2.0258e+06	 3.1737e+05	-6.3832e+00
 9.1346e+02	 0.0000e+00	 4.3448e+00	 6.5255e-01	 2.8426e+02	 5.7000e+01	-8.1458e+01	 3.0190e+06	 4.5343e+05	-6.6581e+00
 6.0898e+02	 0.0000e+00	 4.5421e+00	 6.2325e-01	 2.8427e+02	 5.9570e+01	-8.2187e+01	 4.7414e+06	 6.5060e+05	-7.2878e+00
 4.0598e+02	 0.0000e+00	 4.7078e+00	 5.7699e-01	 2.8426e+02	 6.2250e+01	-8.3013e+01	 7.6823e+06	 9.4155e+05	-8.1592e+00
 2.7066e+02	 0.0000e+00	 4.8583e+00	 5.1645e-01	 2.8427e+02	 6.4690e+01	-8.3932e+01	 1.2874e+07	 1.3686e+06	-9.4073e+00
 1.8044e+02	 0.0000e+00	 4.9846e+00	 4.5361e-01	 2.8427e+02	 6.7500e+01	-8.4800e+01	 2.1987e+07	 2.0009e+06	-1.0989e+01
 1.2029e+02	 0.0000e+00	 5.0895e+00	 3.9357e-01	 2.8427e+02	 7.0190e+01	-8.5578e+01	 3.8011e+07	 2.9394e+06	-1.2932e+01
 1.0000e+02	 0.0000e+00	 5.1315e+00	 3.6788e-01	 2.8426e+02	 7.2770e+01	-8.5899e+01	 4.8917e+07	 3.5069e+06	-1.3949e+01
 9.0000e+05	 7.0000e+01	 2.9721e+00	 8.3530e-02	 2.8427e+02	 8.1570e+01	-8.8390e+01	 2.3938e+04	 6.7277e+02	-3.5581e+01
 6.0000e+05	 7.0000e+01	 2.9643e+00	 1.6086e-01	 2.8427e+02	 8.4300e+01	-8.6894e+01	 1.8646e+04	 1.0118e+03	-1.8428e+01
 4.0000e+05	 7.0000e+01	 3.0047e+00	 1.6588e-01	 2.8426e+02	 8.6880e+01	-8.6840e+01	 2.7121e+04	 1.4973e+03	-1.8113e+01
 2.6667e+05	 7.0000e+01	 3.0465e+00	 1.7203e-01	 2.8427e+02	 8.9540e+01	-8.6768e+01	 3.9228e+04	 2.2151e+03	-1.7709e+01
 1.7778e+05	 7.0000e+01	 3.0897e+00	 1.7928e-01	 2.8426e+02	 9.2070e+01	-8.6679e+01	 5.6463e+04	 3.2763e+03	-1.7234e+01
 1.1852e+05	 7.0000e+01	 3.1343e+00	 1.8825e-01	 2.8426e+02	 9.4630e+01	-8.6563e+01	 8.0659e+04	 4.8444e+03	-1.6650e+01
 7.9012e+04	 7.0000e+01	 3.1804e+00	 1.9958e-01	 2.8427e+02	 9.7070e+01	-8.6409e+01	 1.1412e+05	 7.1613e+03	-1.5936e+01
 5.2675e+04	 7.0000e+01	 3.2167e+00	 2.1462e-01	 2.8426e+02	 9.9500e+01	-8.6183e+01	 1.5918e+05	 1.0621e+04	-1.4988e+01
 3.5117e+04	 7.0000e+01	 3.2673e+00	 2.3365e-01	 2.8427e+02	 1.0222e+02	-8.5910e+01	 2.1932e+05	 1.5684e+04	-1.3984e+01
 2.3411e+04	 7.0000e+01	 3.3212e+00	 2.5892e-01	 2.8427e+02	 1.0469e+02	-8.5542e+01	 2.9688e+05	 2.3145e+04	-1.2827e+01
 1.5607e+04	 7.0000e+01	 3.3805e+00	 2.9276e-01	 2.8427e+02	 1.0719e+02	-8.5050e+01	 3.9384e+05	 3.4108e+04	-1.1547e+01
 1.0405e+04	 7.0000e+01	 3.4480e+00	 3.3773e-01	 2.8427e+02	 1.0975e+02	-8.4406e+01	 5.1211e+05	 5.0160e+04	-1.0209e+01
 6.9366e+03	 7.0000e+01	 3.5292e+00	 3.9574e-01	 2.8426e+02	 1.1225e+02	-8.3602e+01	 6.5556e+05	 7.3511e+04	-8.9180e+00
 4.6244e+03	 7.0000e+01	 3.6323e+00	 4.6648e-01	 2.8426e+02	 1.1513e+02	-8.2682e+01	 8.3422e+05	 1.0714e+05	-7.7865e+00
 3.0829e+03	 7.0000e+01	 3.7756e+00	 5.4268e-01	 2.8427e+02	 1.1763e+02	-8.1821e+01	 1.0756e+06	 1.5460e+05	-6.9574e+00
 2.0553e+03	 7.0000e+01	 3.9451e+00	 6.0912e-01	 2.8426e+02	 1.2032e+02	-8.1223e+01	 1.4375e+06	 2.2194e+05	-6.4767e+00
 1.3702e+03	 7.0000e+01	 4.1422e+00	 6.4894e-01	 2.8426e+02	 1.2275e+02	-8.1096e+01	 2.0239e+06	 3.1707e+05	-6.3830e+00
