PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, Start, 23.4.2026, 9:17
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 9.0000e+05	 0.0000e+00	 3.5106e+00	 2.4323e-01	 2.9342e+02	 1.2440e+01	-8.6037e+01	 8.2207e+03	 5.6957e+02	-1.4433e+01
 6.0000e+05	 0.0000e+00	 3.6067e+00	 2.9009e-01	 2.9439e+02	 2.0370e+01	-8.5402e+01	 1.0339e+04	 8.3158e+02	-1.2433e+01
 4.0000e+05	 0.0000e+00	 3.6687e+00	 4.4740e-01	 2.9475e+02	 2.3470e+01	-8.3047e+01	 1.0056e+04	 1.2263e+03	-8.2000e+00
 2.6667e+05	 0.0000e+00	 3.7934e+00	 4.9792e-01	 2.9500e+02	 2.6000e+01	-8.2522e+01	 1.3553e+04	 1.7790e+03	-7.6186e+00
 1.7778e+05	 0.0000e+00	 3.9348e+00	 5.5843e-01	 2.9542e+02	 2.8900e+01	-8.1923e+01	 1.8127e+04	 2.5726e+03	-7.0463e+00
 1.1852e+05	 0.0000e+00	 4.1056e+00	 6.2438e-01	 2.9567e+02	 3.1370e+01	-8.1353e+01	 2.4319e+04	 3.6983e+03	-6.5756e+00
 7.9012e+04	 0.0000e+00	 4.3070e+00	 6.8158e-01	 2.9597e+02	 3.3810e+01	-8.1008e+01	 3.3416e+04	 5.2880e+03	-6.3192e+00
 5.2675e+04	 0.0000e+00	 4.5369e+00	 7.1332e-01	 2.9634e+02	 3.6440e+01	-8.1065e+01	 4.7894e+04	 7.5301e+03	-6.3603e+00
 3.5117e+04	 0.0000e+00	 4.7783e+00	 7.0965e-01	 2.9659e+02	 3.8870e+01	-8.1552e+01	 7.2212e+04	 1.0725e+04	-6.7332e+00
 2.3411e+04	 0.0000e+00	 5.0073e+00	 6.6410e-01	 2.9695e+02	 4.1620e+01	-8.2445e+01	 1.1575e+05	 1.5351e+04	-7.5401e+00
 1.5607e+04	 0.0000e+00	 5.2058e+00	 5.9057e-01	 2.9726e+02	 4.4060e+01	-8.3528e+01	 1.9524e+05	 2.2149e+04	-8.8149e+00
 1.0405e+04	 0.0000e+00	 5.3671e+00	 5.0420e-01	 2.9749e+02	 4.6500e+01	-8.4633e+01	 3.4303e+05	 3.2225e+04	-1.0645e+01
 6.9366e+03	 0.0000e+00	 5.4935e+00	 4.1726e-01	 2.9785e+02	 4.9190e+01	-8.5656e+01	 6.2175e+05	 4.7225e+04	-1.3166e+01
 4.6244e+03	 0.0000e+00	 5.5890e+00	 3.3868e-01	 2.9816e+02	 5.1620e+01	-8.6532e+01	 1.1490e+06	 6.9628e+04	-1.6502e+01
 3.0829e+03	 0.0000e+00	 5.6612e+00	 2.7176e-01	 2.9850e+02	 5.4620e+01	-8.7252e+01	 2.1479e+06	 1.0311e+05	-2.0832e+01
 2.0553e+03	 0.0000e+00	 5.7162e+00	 2.1816e-01	 2.9874e+02	 5.7060e+01	-8.7814e+01	 4.0135e+06	 1.5317e+05	-2.6203e+01
 1.3702e+03	 0.0000e+00	 5.7586e+00	 1.7656e-01	 2.9913e+02	 5.9750e+01	-8.8244e+01	 7.4388e+06	 2.2807e+05	-3.2616e+01
 9.1346e+02	 0.0000e+00	 5.7929e+00	 1.4433e-01	 2.9937e+02	 6.2190e+01	-8.8573e+01	 1.3649e+07	 3.4008e+05	-4.0135e+01
 6.0898e+02	 0.0000e+00	 5.8211e+00	 1.2040e-01	 2.9969e+02	 6.4980e+01	-8.8815e+01	 2.4544e+07	 5.0765e+05	-4.8348e+01
 4.0598e+02	 0.0000e+00	 5.8460e+00	 1.0265e-01	 2.9992e+02	 6.7690e+01	-8.8994e+01	 4.3184e+07	 7.5823e+05	-5.6953e+01
 2.7066e+02	 0.0000e+00	 5.8674e+00	 8.9910e-02	 3.0029e+02	 7.0390e+01	-8.9122e+01	 7.3951e+07	 1.1332e+06	-6.5259e+01
 1.8044e+02	 0.0000e+00	 5.8873e+00	 8.0938e-02	 3.0050e+02	 7.2890e+01	-8.9212e+01	 1.2322e+08	 1.6940e+06	-7.2739e+01
 1.2029e+02	 0.0000e+00	 5.9057e+00	 7.4931e-02	 3.0088e+02	 7.5720e+01	-8.9273e+01	 1.9965e+08	 2.5332e+06	-7.8815e+01
 1.0000e+02	 0.0000e+00	 5.9150e+00	 7.2890e-02	 3.0110e+02	 7.8200e+01	-8.9294e+01	 2.4689e+08	 3.0424e+06	-8.1150e+01
 9.0000e+05	 7.5400e+01	 3.7122e+00	 2.0670e-01	 3.0199e+02	 8.6940e+01	-8.6813e+01	 9.6737e+03	 5.3863e+02	-1.7960e+01
 6.0000e+05	 7.5400e+01	-5.7466e-01	 4.0686e+01	 3.0229e+02	 8.9920e+01	 8.0921e-01	 7.3718e+01	-5.2192e+03	 1.4124e-02
 4.0000e+05	 7.5400e+01	-3.8661e+00	 6.2790e+01	 3.0239e+02	 9.1420e+01	 3.5233e+00	 7.1650e+01	-1.1637e+03	 6.1571e-02
 2.6667e+05	 7.5400e+01	-9.3030e+00	 9.7490e+01	 3.0259e+02	 9.3110e+01	 5.4509e+00	 6.9221e+01	-7.2540e+02	 9.5425e-02
 1.7778e+05	 7.5400e+01	-1.7844e+01	 1.5270e+02	 3.0284e+02	 9.4750e+01	 6.6651e+00	 6.6289e+01	-5.6727e+02	 1.1686e-01
 1.1852e+05	 7.5400e+01	-3.1483e+01	 2.4117e+02	 3.0303e+02	 9.7480e+01	 7.4375e+00	 6.2959e+01	-4.8229e+02	 1.3054e-01
 7.9012e+04	 7.5400e+01	-4.9084e+01	 3.8054e+02	 3.0332e+02	 1.0042e+02	 7.3496e+00	 5.9851e+01	-4.6402e+02	 1.2898e-01
 5.2675e+04	 7.5400e+01	-6.8002e+01	 5.9864e+02	 3.0366e+02	 1.0322e+02	 6.4807e+00	 5.7068e+01	-5.0239e+02	 1.1359e-01
 3.5117e+04	 7.5400e+01	 5.1304e+00	 6.4577e-01	 3.0416e+02	 1.0862e+02	-8.2826e+01	 7.9355e+04	 9.9886e+03	-7.9446e+00
 2.3411e+04	 7.5400e+01	 5.3103e+00	 5.6109e-01	 3.0440e+02	 1.1144e+02	-8.3968e+01	 1.3700e+05	 1.4475e+04	-9.4642e+00
 1.5607e+04	 7.5400e+01	 5.4511e+00	 4.7090e-01	 3.0467e+02	 1.1412e+02	-8.5063e+01	 2.4486e+05	 2.1152e+04	-1.1576e+01
 1.0405e+04	 7.5400e+01	 5.5582e+00	 3.8626e-01	 3.0486e+02	 1.1656e+02	-8.6025e+01	 4.4776e+05	 3.1117e+04	-1.4390e+01
 6.9366e+03	 7.5400e+01	 5.6387e+00	 3.1275e-01	 3.0516e+02	 1.1925e+02	-8.6825e+01	 8.2951e+05	 4.6009e+04	-1.8029e+01
 4.6244e+03	 7.5400e+01	 5.7000e+00	 2.5260e-01	 3.0534e+02	 1.2169e+02	-8.7463e+01	 1.5406e+06	 6.8272e+04	-2.2565e+01
 3.0829e+03	 7.5400e+01	 5.7474e+00	 2.0502e-01	 3.0560e+02	 1.2462e+02	-8.7957e+01	 2.8472e+06	 1.0156e+05	-2.8034e+01
 2.0553e+03	 7.5400e+01	 5.7851e+00	 1.6843e-01	 3.0581e+02	 1.2706e+02	-8.8332e+01	 5.1985e+06	 1.5135e+05	-3.4347e+01
 1.3702e+03	 7.5400e+01	 5.8167e+00	 1.4116e-01	 3.0598e+02	 1.2950e+02	-8.8610e+01	 9.3043e+06	 2.2579e+05	-4.1208e+01
 9.1346e+02	 7.5400e+01	 5.8438e+00	 1.2030e-01	 3.0624e+02	 1.3212e+02	-8.8821e+01	 1.6376e+07	 3.3712e+05	-4.8577e+01
 6.0898e+02	 7.5400e+01	 5.8677e+00	 1.0489e-01	 3.0641e+02	 1.3465e+02	-8.8976e+01	 2.8173e+07	 5.0362e+05	-5.5942e+01
 4.0598e+02	 7.5400e+01	 5.8894e+00	 9.3677e-02	 3.0670e+02	 1.3762e+02	-8.9089e+01	 4.7318e+07	 7.5264e+05	-6.2870e+01
 2.7066e+02	 7.5400e+01	 5.9090e+00	 8.6096e-02	 3.0687e+02	 1.4014e+02	-8.9165e+01	 7.7227e+07	 1.1252e+06	-6.8632e+01
 1.8044e+02	 7.5400e+01	 5.9278e+00	 8.1050e-02	 3.0715e+02	 1.4289e+02	-8.9217e+01	 1.2305e+08	 1.6825e+06	-7.3138e+01
 1.2029e+02	 7.5400e+01	 5.9458e+00	 7.8812e-02	 3.0740e+02	 1.4576e+02	-8.9241e+01	 1.8982e+08	 2.5161e+06	-7.5443e+01
