PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 50°C Start, 27.4.2026, 9:13
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 1.0000e+02	 0.0000e+00	 6.4735e+00	 8.2224e-02	 2.9201e+02	 7.7000e+00	-8.9272e+01	 2.1886e+08	 2.7799e+06	-7.8730e+01
 1.5000e+02	 0.0000e+00	 6.4546e+00	 9.0176e-02	 2.9200e+02	 1.0160e+01	-8.9200e+01	 1.3304e+08	 1.8587e+06	-7.1577e+01
 2.2500e+02	 0.0000e+00	 6.4348e+00	 9.6383e-02	 2.9200e+02	 1.2620e+01	-8.9142e+01	 8.2982e+07	 1.2429e+06	-6.6763e+01
 3.3750e+02	 0.0000e+00	 6.4133e+00	 1.0831e-01	 2.9201e+02	 1.5190e+01	-8.9032e+01	 4.9230e+07	 8.3140e+05	-5.9213e+01
 5.0625e+02	 0.0000e+00	 6.3888e+00	 1.2446e-01	 2.9201e+02	 1.7620e+01	-8.8884e+01	 2.8560e+07	 5.5640e+05	-5.1331e+01
 7.5938e+02	 0.0000e+00	 6.3609e+00	 1.4557e-01	 2.9200e+02	 2.0230e+01	-8.8689e+01	 1.6279e+07	 3.7256e+05	-4.3696e+01
 1.1391e+03	 0.0000e+00	 6.3271e+00	 1.7270e-01	 2.9200e+02	 2.5530e+01	-8.8436e+01	 9.1480e+06	 2.4970e+05	-3.6636e+01
 1.7086e+03	 0.0000e+00	 6.2867e+00	 2.0692e-01	 2.9200e+02	 2.8000e+01	-8.8115e+01	 5.0901e+06	 1.6754e+05	-3.0382e+01
 2.5629e+03	 0.0000e+00	 6.2369e+00	 2.4819e-01	 2.9200e+02	 3.0700e+01	-8.7721e+01	 2.8291e+06	 1.1258e+05	-2.5129e+01
 3.8443e+03	 0.0000e+00	 6.1747e+00	 2.9764e-01	 2.9200e+02	 3.3250e+01	-8.7240e+01	 1.5727e+06	 7.5811e+04	-2.0746e+01
 5.7665e+03	 0.0000e+00	 6.0979e+00	 3.5415e-01	 2.9199e+02	 3.5750e+01	-8.6676e+01	 8.8119e+05	 5.1177e+04	-1.7218e+01
 8.6498e+03	 0.0000e+00	 6.0020e+00	 4.1612e-01	 2.9200e+02	 3.8500e+01	-8.6034e+01	 4.9997e+05	 3.4663e+04	-1.4424e+01
 1.2975e+04	 0.0000e+00	 5.8853e+00	 4.8073e-01	 2.9199e+02	 4.1190e+01	-8.5330e+01	 2.8852e+05	 2.3567e+04	-1.2242e+01
 1.9462e+04	 0.0000e+00	 5.7470e+00	 5.4404e-01	 2.9199e+02	 4.3700e+01	-8.4592e+01	 1.6996e+05	 1.6089e+04	-1.0564e+01
 2.9193e+04	 0.0000e+00	 5.5878e+00	 6.0121e-01	 2.9199e+02	 4.6310e+01	-8.3859e+01	 1.0253e+05	 1.1032e+04	-9.2942e+00
 4.3789e+04	 0.0000e+00	 5.4099e+00	 6.4745e-01	 2.9199e+02	 4.8940e+01	-8.3175e+01	 6.3474e+04	 7.5964e+03	-8.3557e+00
 6.5684e+04	 0.0000e+00	 5.2182e+00	 6.7856e-01	 2.9199e+02	 5.1440e+01	-8.2591e+01	 4.0376e+04	 5.2503e+03	-7.6901e+00
 9.8526e+04	 0.0000e+00	 5.0187e+00	 6.9200e-01	 2.9199e+02	 5.4310e+01	-8.2149e+01	 2.6394e+04	 3.6393e+03	-7.2525e+00
 1.4779e+05	 0.0000e+00	 4.8181e+00	 6.8741e-01	 2.9199e+02	 5.9560e+01	-8.1880e+01	 1.7714e+04	 2.5273e+03	-7.0090e+00
 2.2168e+05	 0.0000e+00	 4.6262e+00	 6.6721e-01	 2.9199e+02	 6.2060e+01	-8.1793e+01	 1.2167e+04	 1.7547e+03	-6.9337e+00
