PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, Start, 23.4.2026, 9:24
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]	  Phi [Deg]	 Zp' [Ohms]	 Zp'' [Ohms]	Tan(Phi) 
 1.0000e+02	 0.0000e+00	 5.9910e+00	 1.2692e-01	 3.3051e+02	 7.8300e+00	-8.8786e+01	 1.4179e+08	 3.0038e+06	-4.7202e+01
 1.5000e+02	 0.0000e+00	 5.9642e+00	 1.1898e-01	 3.3067e+02	 1.0270e+01	-8.8857e+01	 1.0083e+08	 2.0115e+06	-5.0127e+01
 2.2500e+02	 0.0000e+00	 5.9380e+00	 1.1994e-01	 3.3095e+02	 1.2920e+01	-8.8843e+01	 6.6682e+07	 1.3469e+06	-4.9506e+01
 3.3750e+02	 0.0000e+00	 5.9118e+00	 1.2082e-01	 3.3111e+02	 1.5380e+01	-8.8829e+01	 4.4131e+07	 9.0194e+05	-4.8929e+01
 5.0625e+02	 0.0000e+00	 5.8857e+00	 1.2498e-01	 3.3126e+02	 1.7810e+01	-8.8783e+01	 2.8441e+07	 6.0396e+05	-4.7091e+01
 7.5938e+02	 0.0000e+00	 5.8583e+00	 1.3270e-01	 3.3155e+02	 2.0560e+01	-8.8702e+01	 1.7858e+07	 4.0452e+05	-4.4146e+01
 1.1391e+03	 0.0000e+00	 5.8296e+00	 1.4424e-01	 3.3171e+02	 2.3000e+01	-8.8583e+01	 1.0953e+07	 2.7101e+05	-4.0415e+01
 1.7086e+03	 0.0000e+00	 5.7984e+00	 1.6094e-01	 3.3195e+02	 2.5690e+01	-8.8410e+01	 6.5442e+06	 1.8164e+05	-3.6028e+01
 2.5629e+03	 0.0000e+00	 5.7650e+00	 1.8449e-01	 3.3211e+02	 2.8250e+01	-8.8167e+01	 3.8060e+06	 1.2180e+05	-3.1249e+01
 3.8443e+03	 0.0000e+00	 5.7271e+00	 2.1704e-01	 3.3232e+02	 3.0690e+01	-8.7830e+01	 2.1568e+06	 8.1735e+04	-2.6387e+01
 5.7665e+03	 0.0000e+00	 5.6831e+00	 2.6150e-01	 3.3255e+02	 3.3190e+01	-8.7366e+01	 1.1934e+06	 5.4912e+04	-2.1733e+01
 8.6498e+03	 0.0000e+00	 5.6286e+00	 3.2159e-01	 3.3271e+02	 3.5810e+01	-8.6730e+01	 6.4693e+05	 3.6963e+04	-1.7502e+01
 1.2975e+04	 0.0000e+00	 5.5572e+00	 4.0088e-01	 3.3298e+02	 3.8560e+01	-8.5874e+01	 3.4599e+05	 2.4958e+04	-1.3863e+01
 1.9462e+04	 0.0000e+00	 5.4599e+00	 5.0106e-01	 3.3315e+02	 4.1130e+01	-8.4757e+01	 1.8454e+05	 1.6935e+04	-1.0897e+01
 2.9193e+04	 0.0000e+00	 5.3229e+00	 6.1900e-01	 3.3338e+02	 4.3690e+01	-8.3367e+01	 9.9587e+04	 1.1581e+04	-8.5992e+00
 4.3789e+04	 0.0000e+00	 5.1325e+00	 7.4095e-01	 3.3354e+02	 4.6250e+01	-8.1785e+01	 5.5464e+04	 8.0071e+03	-6.9269e+00
 6.5684e+04	 0.0000e+00	 4.8827e+00	 8.4030e-01	 3.3374e+02	 4.8690e+01	-8.0235e+01	 3.2604e+04	 5.6111e+03	-5.8107e+00
 9.8526e+04	 0.0000e+00	 4.5898e+00	 8.8455e-01	 3.3398e+02	 5.1380e+01	-7.9092e+01	 2.0649e+04	 3.9795e+03	-5.1888e+00
