PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, Desorption, 7.5.2026, 16:36
Diameter[mm] 1.128e+00  Thickness[mm] 2.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 1.0000e+02	 0.0000e+00	 1.2268e+00	-1.8670e-01	 3.6315e+02	 8.6700e+00
 1.5000e+02	 0.0000e+00	 1.2844e+00	-1.5811e-01	 3.6315e+02	 1.1020e+01
 2.2500e+02	 0.0000e+00	 1.3345e+00	-8.8639e-02	 3.6316e+02	 1.3640e+01
 3.3750e+02	 0.0000e+00	 1.3501e+00	-4.7816e-02	 3.6316e+02	 1.6190e+01
 5.0625e+02	 0.0000e+00	 1.3523e+00	-1.5163e-02	 3.6316e+02	 1.8700e+01
 7.5938e+02	 0.0000e+00	 1.3471e+00	-5.4295e-03	 3.6315e+02	 2.1440e+01
 1.1391e+03	 0.0000e+00	 1.3401e+00	 7.8871e-03	 3.6315e+02	 2.4000e+01
 1.7086e+03	 0.0000e+00	 1.3324e+00	 1.6547e-02	 3.6315e+02	 2.6670e+01
 2.5629e+03	 0.0000e+00	 1.3251e+00	 2.1097e-02	 3.6315e+02	 2.9250e+01
 3.8443e+03	 0.0000e+00	 1.3176e+00	 2.3187e-02	 3.6315e+02	 3.1970e+01
 5.7665e+03	 0.0000e+00	 1.3102e+00	 2.4581e-02	 3.6316e+02	 3.4440e+01
 8.6498e+03	 0.0000e+00	 1.3030e+00	 2.5713e-02	 3.6315e+02	 3.6880e+01
 1.2975e+04	 0.0000e+00	 1.2958e+00	 2.6891e-02	 3.6315e+02	 3.9630e+01
 1.9462e+04	 0.0000e+00	 1.2884e+00	 2.7371e-02	 3.6315e+02	 4.2060e+01
 2.9193e+04	 0.0000e+00	 1.2812e+00	 2.8086e-02	 3.6315e+02	 4.4660e+01
 4.3789e+04	 0.0000e+00	 1.2740e+00	 2.8584e-02	 3.6316e+02	 4.7380e+01
 6.5684e+04	 0.0000e+00	 1.2666e+00	 2.9067e-02	 3.6315e+02	 4.9810e+01
 9.8526e+04	 0.0000e+00	 1.2591e+00	 2.9925e-02	 3.6316e+02	 5.2310e+01
 1.4779e+05	 0.0000e+00	 1.2513e+00	 3.0831e-02	 3.6316e+02	 5.4750e+01
