PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 60°C Absorption, 30.4.2026, 11:14
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 1.0000e+02	 0.0000e+00	 6.3131e+00	 1.8181e-01	 3.3315e+02	 7.5300e+00
 1.5000e+02	 0.0000e+00	 6.2764e+00	 1.6877e-01	 3.3314e+02	 1.0010e+01
 2.2500e+02	 0.0000e+00	 6.2432e+00	 1.6235e-01	 3.3314e+02	 1.2510e+01
 3.3750e+02	 0.0000e+00	 6.2120e+00	 1.6098e-01	 3.3315e+02	 1.5190e+01
 5.0625e+02	 0.0000e+00	 6.1817e+00	 1.6604e-01	 3.3315e+02	 1.7640e+01
 7.5938e+02	 0.0000e+00	 6.1511e+00	 1.7893e-01	 3.3315e+02	 2.0450e+01
 1.1391e+03	 0.0000e+00	 6.1186e+00	 2.0125e-01	 3.3314e+02	 2.5750e+01
 1.7086e+03	 0.0000e+00	 6.0816e+00	 2.3542e-01	 3.3314e+02	 2.8190e+01
 2.5629e+03	 0.0000e+00	 6.0367e+00	 2.8396e-01	 3.3314e+02	 3.0980e+01
 3.8443e+03	 0.0000e+00	 5.9805e+00	 3.4985e-01	 3.3315e+02	 3.3440e+01
 5.7665e+03	 0.0000e+00	 5.9057e+00	 4.3655e-01	 3.3314e+02	 3.5870e+01
 8.6498e+03	 0.0000e+00	 5.8036e+00	 5.4589e-01	 3.3314e+02	 3.8620e+01
 1.2975e+04	 0.0000e+00	 5.6607e+00	 6.7535e-01	 3.3315e+02	 4.1060e+01
 1.9462e+04	 0.0000e+00	 5.4623e+00	 8.1347e-01	 3.3315e+02	 4.3720e+01
 2.9193e+04	 0.0000e+00	 5.1981e+00	 9.3550e-01	 3.3315e+02	 4.6310e+01
 4.3789e+04	 0.0000e+00	 4.8771e+00	 1.0052e+00	 3.3315e+02	 4.8750e+01
 6.5684e+04	 0.0000e+00	 4.5340e+00	 9.9370e-01	 3.3315e+02	 5.1370e+01
 9.8526e+04	 0.0000e+00	 4.2283e+00	 9.0144e-01	 3.3315e+02	 5.3940e+01
 1.4779e+05	 0.0000e+00	 3.9801e+00	 7.5805e-01	 3.3315e+02	 5.6690e+01
 2.2168e+05	 0.0000e+00	 3.8075e+00	 6.0658e-01	 3.3315e+02	 5.9250e+01
