PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 80°C Desorption, 4.5.2026, 16:19
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 1.0000e+02	 0.0000e+00	 5.6434e+00	 2.5644e-01	 3.5317e+02	 7.7200e+00
 1.5000e+02	 0.0000e+00	 5.5782e+00	 2.7160e-01	 3.5315e+02	 1.0200e+01
 2.2500e+02	 0.0000e+00	 5.5087e+00	 2.8882e-01	 3.5316e+02	 1.3000e+01
 3.3750e+02	 0.0000e+00	 5.4338e+00	 3.0746e-01	 3.5316e+02	 1.5440e+01
 5.0625e+02	 0.0000e+00	 5.3534e+00	 3.2739e-01	 3.5316e+02	 1.7940e+01
 7.5938e+02	 0.0000e+00	 5.2670e+00	 3.4760e-01	 3.5316e+02	 2.0450e+01
 1.1391e+03	 0.0000e+00	 5.1744e+00	 3.6816e-01	 3.5315e+02	 2.3000e+01
 1.7086e+03	 0.0000e+00	 5.0770e+00	 3.8812e-01	 3.5316e+02	 2.5750e+01
 2.5629e+03	 0.0000e+00	 4.9739e+00	 4.0758e-01	 3.5315e+02	 3.0980e+01
 3.8443e+03	 0.0000e+00	 4.8659e+00	 4.2680e-01	 3.5314e+02	 3.3440e+01
 5.7665e+03	 0.0000e+00	 4.7531e+00	 4.4573e-01	 3.5314e+02	 3.5940e+01
 8.6498e+03	 0.0000e+00	 4.6347e+00	 4.6471e-01	 3.5314e+02	 4.0870e+01
 1.2975e+04	 0.0000e+00	 4.4322e+00	 3.0387e-01	 3.5314e+02	 4.3310e+01
 1.9462e+04	 0.0000e+00	 4.3446e+00	 3.4866e-01	 3.5314e+02	 4.6120e+01
 2.9193e+04	 0.0000e+00	 4.2404e+00	 3.9824e-01	 3.5314e+02	 4.8580e+01
 4.3789e+04	 0.0000e+00	 4.1185e+00	 4.4419e-01	 3.5314e+02	 5.1440e+01
 6.5684e+04	 0.0000e+00	 3.9815e+00	 4.7188e-01	 3.5314e+02	 5.3940e+01
 9.8526e+04	 0.0000e+00	 3.8384e+00	 4.7972e-01	 3.5314e+02	 5.6690e+01
 1.4779e+05	 0.0000e+00	 3.6697e+00	 4.8985e-01	 3.5314e+02	 5.9250e+01
 2.2168e+05	 0.0000e+00	 3.5356e+00	 4.5825e-01	 3.5314e+02	 6.2140e+01
 3.3253e+05	 0.0000e+00	 3.4153e+00	 4.1708e-01	 3.5313e+02	 6.4560e+01
 4.9879e+05	 0.0000e+00	 3.3125e+00	 3.7263e-01	 3.5314e+02	 6.7250e+01
 7.4818e+05	 0.0000e+00	 3.2810e+00	 2.6778e-01	 3.5314e+02	 7.5060e+01
 9.0000e+05	 0.0000e+00	 3.2512e+00	 2.4737e-01	 3.5315e+02	 8.3250e+01
 1.0000e+02	 8.0500e+01	 5.6415e+00	 2.5721e-01	 3.5314e+02	 9.0950e+01
 1.5000e+02	 8.0500e+01	 5.5770e+00	 2.7484e-01	 3.5315e+02	 9.3730e+01
 2.2500e+02	 8.0500e+01	 5.5064e+00	 2.8938e-01	 3.5316e+02	 9.6200e+01
 3.3750e+02	 8.0500e+01	 5.4315e+00	 3.0812e-01	 3.5316e+02	 9.8700e+01
 5.0625e+02	 8.0500e+01	 5.3509e+00	 3.2800e-01	 3.5315e+02	 1.0126e+02
 7.5938e+02	 8.0500e+01	 5.2646e+00	 3.4821e-01	 3.5315e+02	 1.0369e+02
 1.1391e+03	 8.0500e+01	 5.1724e+00	 3.6826e-01	 3.5316e+02	 1.0648e+02
 1.7086e+03	 8.0500e+01	 5.0747e+00	 3.8842e-01	 3.5315e+02	 1.0906e+02
 2.5629e+03	 8.0500e+01	 4.9717e+00	 4.0786e-01	 3.5316e+02	 1.1419e+02
 3.8443e+03	 8.0500e+01	 4.8637e+00	 4.2688e-01	 3.5316e+02	 1.1670e+02
