Time_Relative_s,Fit_Success,Direction,Run_Label,Target_der_m,Der_m_Bound_Half_Width,RMSE_Log,R2,At_Bounds,Bounds_Hit_Count,Sequential_Bounds,Sequential_Bounds_Hit_Count,Fixed_der_m,Accepted,height,alpha,alpha_beta,omega_p,der_A,der_m,beta,de,tau_hn,Error
-359.475,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-351.39500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-348.96500000000003,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-346.105,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-343.52500000000003,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-340.77500000000003,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-338.225,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-333.105,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-330.285,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-327.725,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-325.02500000000003,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-322.535,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-319.755,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-317.165,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-314.665,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-311.975,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-309.535,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-306.785,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-304.225,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-299.105,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-296.58500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-293.785,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-290.805,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-284.355,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-276.785,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-268.525,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-265.855,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-263.145,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-260.285,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-257.725,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-255.005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-250.03500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-247.605,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-245.03500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-242.28500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-239.855,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-237.28500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-234.665,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-232.225,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-229.505,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-227.03500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-224.605,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-221.855,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-216.53500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-214.105,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-211.255,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-208.555,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-202.03500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-194.56500000000003,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-186.525,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-183.755,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-181.27500000000003,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-178.35500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-175.91500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-173.33500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-167.78500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-165.22500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-162.505,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-159.97500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-157.53500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-154.78500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-152.22500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-149.60500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-147.10500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-144.66500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-142.10500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-139.495,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-134.33500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-131.60500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-129.03500000000005,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-126.115,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-119.60500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-111.35500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-103.58500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-100.78500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-98.35500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-95.53500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-93.08500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-90.53500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-85.53500000000003,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-83.08500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-80.35500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-77.91500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-75.41500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-72.83500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-70.10500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-67.66500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-64.85500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-62.41500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-59.97500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-57.41500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-52.10500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-49.58500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-46.64500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-43.785000000000025,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-37.275000000000034,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-29.66500000000002,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-21.77500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-19.14500000000004,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-16.715000000000032,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-14.004999999999995,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-11.535000000000023,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-8.975000000000023,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-4.035000000000025,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
-1.275000000000034,False,backward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
0.0,True,reference,pilot_free_der_m,,,0.5547970953613347,0.6614040378304495,False,0.0,False,0.0,,True,2.4071059919704443e-10,0.0500662390718068,0.1445077296192972,147726.5307911309,0.0167981055187242,0.3132454876254582,2.8863308348773487,9.703355542540885e-09,4.366575341582171e-15,
1.2749999999999773,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
3.964999999999975,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
6.394999999999982,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
8.964999999999975,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
11.644999999999982,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
14.08499999999998,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
16.894999999999982,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
19.35499999999996,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
21.774999999999977,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
24.46499999999997,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
29.745000000000005,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
32.27499999999998,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
34.94499999999999,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
37.69499999999999,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
44.214999999999975,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
51.964999999999975,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
59.724999999999966,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
62.44499999999999,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
64.91499999999996,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
67.46499999999997,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
70.08499999999998,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
72.64499999999998,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
77.89499999999998,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
80.66499999999996,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
83.27499999999998,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
86.08500000000004,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
88.58500000000004,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
91.245,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
93.83500000000004,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
96.27499999999998,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
98.89499999999998,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
101.33500000000004,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
103.995,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
106.58500000000004,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
111.64499999999998,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
114.21500000000005,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
116.89499999999998,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
119.57499999999992,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
125.96500000000005,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
