Time_Relative_s,der_m,der_m_smooth
-350.72,-0.33282912025188033,-0.33512387198069304
-342.39,-0.33435581112011,-0.3349719382403289
-339.83,-0.3348200044999647,-0.3348200044999647
-337.14,-0.33512387198069304,-0.33458790781003733
-334.59,-0.3353993366832839,-0.33435581112011
-332.0,-0.335702242648952,-0.33419195374077054
-329.4,-0.3359989431906112,-0.3340280963614311
-324.34,-0.3365513358081553,-0.3334286083066557
-321.9,-0.33678801722947366,-0.33282912025188033
-319.30999999999995,-0.33703874243563225,-0.3321778239979629
-316.84,-0.33719051924864096,-0.33152652774404556
-314.34,-0.3373850972303723,-0.3290434088338728
-311.78,-0.33759978776197364,-0.3265602899237
-309.22,-0.3378041047153243,-0.3253625428952187
-306.59,-0.3380087858222626,-0.32416479586673735
-304.03,-0.33825747105796766,-0.32286667591549845
-301.36,-0.3384470807389304,-0.32156855596425954
-298.9,-0.3386824655051323,-0.3204185492981057
-296.04,-0.338924277599519,-0.31926854263195187
-293.59,-0.3391170891132491,-0.31808700121183386
-290.79,-0.33935043768930523,-0.3169054597917159
-288.34,-0.33956935395586896,-0.3156827874239299
-285.78,-0.33975214742448445,-0.3144601150561439
-277.78,-0.34041058681972053,-0.3131933743856671
-270.09,-0.3409721516841612,-0.3119266337151903
-261.89,-0.34165920623529755,-0.3107772153858337
-259.45,-0.3418507066303243,-0.30962779705647714
-256.64,-0.3391588966683224,-0.3082591709657584
-254.09,-0.3367050072798787,-0.3068905448750397
-251.33,-0.3340280963614311,-0.3057013530359006
-248.72,-0.33152652774404556,-0.3045121611967616
-243.58,-0.3265602899237,-0.3033475022286092
-241.08,-0.32416479586673735,-0.30218284326045675
-238.34,-0.32156855596425954,-0.30094787379200383
-235.9,-0.31926854263195187,-0.2997129043235509
-233.4,-0.3169054597917159,-0.2985419880862672
-230.84,-0.3144601150561439,-0.2973710718489835
-228.15,-0.3119266337151903,-0.296093688005761
-225.72,-0.30962779705647714,-0.29481630416253857
-222.87,-0.3068905448750397,-0.2936239023713329
-220.4,-0.3045121611967616,-0.29243150058012723
-217.97,-0.30218284326045675,-0.29131024904424996
-215.4,-0.2997129043235509,-0.29242920733273264
-212.97,-0.2973710718489835,-0.2924303539564299
-210.31,-0.29481630416253857,-0.29243150058012723
-207.84,-0.29243150058012723,-0.2935582616942358
-205.28,-0.28995566921884525,-0.29468502280834435
-197.5,-0.28235932289286486,-0.29475066348544143
-189.53,-0.274330730189874,-0.29481630416253857
-181.34,-0.2660186560609541,-0.2959565187479474
-178.89,-0.2634397973608723,-0.29709673333335623
-176.07999999999998,-0.2629990906560795,-0.29709673333335623
-173.46999999999997,-0.26256888372924864,-0.29709673333335623
-170.78999999999996,-0.26213279311656873,-0.29709673333335623
-168.14999999999998,-0.26170407517338395,-0.29709673333335623
-163.02999999999997,-0.2608450905731234,-0.29709673333335623
-160.58999999999995,-0.260332638107779,-0.29481630416253857
-157.83999999999995,-0.2599457765122654,-0.29468502280834435
-155.39999999999998,-0.25947959151622413,-0.29243150058012723
-152.87,-0.25902118959041487,-0.29242920733273264
-150.08999999999995,-0.2584400021582828,-0.2901889975083726
-147.35999999999996,-0.2579500589404068,-0.28995566921884525
-144.89999999999998,-0.257445713049918,-0.288062671613236
-142.01,-0.25693778579394355,-0.2857149105192388
-139.52999999999997,-0.25652554893003643,-0.28400877892243964
-137.08999999999995,-0.25603753770407495,-0.28359184545127225
-134.33999999999995,-0.25551715941508135,-0.28235932289286486
-131.82999999999998,-0.2550435117257934,-0.28125468070099235
-129.08999999999995,-0.2544782294568479,-0.28093146848289857
-126.64999999999998,-0.25406300859707354,-0.27919685020969637
-124.0,-0.25360833408723504,-0.2790658934622053
-116.27999999999996,-0.2521527563999333,-0.2790658934622053
-108.7,-0.25090731696586577,-0.2790658934622053
-100.32999999999998,-0.2496173067485177,-0.2790658934622053
-97.89,-0.24942747834062984,-0.2790658934622053
-95.07999999999998,-0.2520140888896544,-0.2790658934622053
-92.46999999999996,-0.254497778953438,-0.2790658934622053
-89.83999999999997,-0.2569719928694406,-0.2790658934622053
-87.27999999999997,-0.25920581776012996,-0.2767799277140042
-82.21999999999997,-0.2636559002799248,-0.27517252496000844
-79.77999999999997,-0.26578938035628763,-0.27457813825719735
-77.08999999999997,-0.26811404730488686,-0.274330730189874
-74.64999999999998,-0.270207783288632,-0.27231475945891465
-72.21999999999997,-0.27231475945891465,-0.270207783288632
-69.58999999999997,-0.27457813825719735,-0.26850529441691684
-67.02999999999997,-0.2767799277140042,-0.26811404730488686
-64.33999999999997,-0.2790658934622053,-0.2660186560609541
-61.77999999999997,-0.28125468070099235,-0.26578938035628763
-59.03999999999997,-0.28359184545127225,-0.2636559002799248
-56.52999999999997,-0.2857149105192388,-0.2634397973608723
-53.75,-0.288062671613236,-0.2629990906560795
-51.21999999999997,-0.2901889975083726,-0.26256888372924864
-48.579999999999984,-0.29242920733273264,-0.26213279311656873
-45.88999999999999,-0.29468502280834435,-0.26198709402761194
-43.02999999999997,-0.29709673333335623,-0.26170407517338395
-35.39999999999998,-0.30345648703527867,-0.2608450905731234
-27.71999999999997,-0.3098123199479231,-0.260643747031489
-19.389999999999983,-0.3166581821028178,-0.260332638107779
-16.92999999999995,-0.3186714321029923,-0.2599457765122654
-14.139999999999986,-0.3209886714686822,-0.25947959151622413
-11.589999999999977,-0.3230375756711148,-0.25920581776012996
-8.839999999999975,-0.32528919661232647,-0.25905343758086363
-6.279999999999973,-0.32734436949221923,-0.25902118959041487
-1.2199999999999704,-0.33142316723776044,-0.2584400021582828
0.0,-0.3324090093262553,-0.2579500589404068
1.2200000000000273,-0.30671549547034377,-0.257445713049918
3.910000000000025,-0.28400877892243964,-0.2569719928694406
6.350000000000023,-0.28093146848289857,-0.25693778579394355
8.850000000000023,-0.27919685020969637,-0.25652554893003643
11.600000000000025,-0.27517252496000844,-0.25603753770407495
14.379999999999995,-0.26850529441691684,-0.25551715941508135
16.850000000000023,-0.25905343758086363,-0.2550435117257934
19.720000000000027,-0.25112412520008487,-0.254497778953438
22.170000000000016,-0.24167490804665306,-0.2544782294568479
24.600000000000023,-0.23291743933281855,-0.25406300859707354
27.220000000000027,-0.22597856109036354,-0.25360833408723504
29.660000000000025,-0.21918263680369454,-0.2521527563999333
32.47000000000003,-0.21566975688935702,-0.2520140888896544
34.910000000000025,-0.21110180418998226,-0.25112412520008487
37.670000000000016,-0.2121697660903587,-0.25090731696586577
44.22000000000003,-0.26198709402761194,-0.2496173067485177
51.97000000000003,-0.3619870940276119,-0.24942747834062984
60.28000000000003,-0.4619870939798071,-0.24167490804665306
