Source_File,Material,Temperature,Mode,Interpolated_Spectrum_ID,Time_Relative_s,First_Freq_Hz,Comparison_Freq_Hz,First_Eps_real,Comparison_Eps_real,Eps_real_Step_Height
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,23,-360.775,100.0,332530.0,5.641675777964676,3.415051732882502,2.226624045082174
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,24,-353.075,100.0,332530.0,5.6415,3.4149494505494506,2.226550549450549
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,25,-350.29499999999996,100.0,332530.0,5.641449454545454,3.414912522642193,2.2265369319032615
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,26,-347.825,100.0,332530.0,5.641404545454545,3.414879712595097,2.226524832859448
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,27,-345.325,100.0,332530.0,5.6413590909090905,3.4148465040454052,2.2265125868636853
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,28,-342.765,100.0,332530.0,5.641312545454545,3.4148124984905204,2.2265000469640244
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,29,-340.335,100.0,332530.0,5.641268363636363,3.4147802197802197,2.2264881438561432
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,30,-337.54499999999996,100.0,332530.0,5.641217636363636,3.4147431590387636,2.226474477324872
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,31,-334.965,100.0,332530.0,5.641170727272727,3.414708887815481,2.226461839457246
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,32,-329.835,100.0,332530.0,5.641077454545454,3.414640743871513,2.2264367106739407
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,33,-327.325,100.0,332530.0,5.641031818181818,3.414607402487622,2.226424415694196
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,34,-324.865,100.0,332530.0,5.640987090909091,3.414574725274725,2.2264123656343657
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,35,-319.715,100.0,332530.0,5.640893454545454,3.4145063156623596,2.2263871388830943
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,36,-317.275,100.0,332530.0,5.64084909090909,3.4144739041178602,2.22637518679123
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,37,-314.715,100.0,332530.0,5.640802545454545,3.4144398985629754,2.22636264689157
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,38,-312.04499999999996,100.0,332530.0,5.640753999999999,3.4144044318319042,2.226349568168095
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,39,-309.44499999999994,100.0,332530.0,5.640706727272727,3.414369894940225,2.2263368323325023
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,40,-306.965,100.0,332530.0,5.640661636363636,3.41433695205893,2.226324684304706
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,41,-304.525,100.0,332530.0,5.6406172727272725,3.4143045405144306,2.226312732212842
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,42,-301.905,100.0,332530.0,5.640569636363636,3.4142697379543536,2.226299898409282
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,43,-299.155,100.0,332530.0,5.640519636363636,3.414233208549692,2.226286427813944
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,44,-296.655,100.0,332530.0,5.640474181818181,3.4142,2.226274181818181
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,45,-294.015,100.0,332530.0,5.640426181818182,3.414165250688046,2.2262609311301356
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,46,-286.405,100.0,332530.0,5.640287818181818,3.414065083163815,2.2262227350180033
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,47,-278.69499999999994,100.0,332530.0,5.640147636363636,3.4139635993777673,2.226184036985869
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,48,-270.575,100.0,332530.0,5.64,3.413856718918272,2.2261432810817277
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,49,-268.05499999999995,100.0,332530.0,5.639963840727011,3.413823549120498,2.2261402916065136
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,50,-265.325,100.0,332530.0,5.6399246681812745,3.413787615172909,2.2261370530083653
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,51,-262.825,100.0,332530.0,5.639888795886643,3.413754708627498,2.226134087259145
PEI5mgmL_80°C_Des.TXT,PEI5mgmL,80°C,Des,52,-260.075,100.0,332530.0,5.639849336362549,3.413718511427546,2.2261308249350034
